P-521,p521_mlkem1024,mlkem1024
6.01,12.04,3.6
1004.52,12.67,3002.45
1005.13,1034.9,3.41
5.21,11.92,3.2
5.0,11.93,3.25
1004.81,13.12,4.78
5.03,12.26,3.24
5.0,12.99,4.4
5.64,11.92,3.15
5.06,12.25,3.3
5.07,12.27,3.25
4.93,11.93,3.13
1005.11,13.17,3.25
5.05,11.82,3.16
5.46,11.93,4.46
1004.53,11.83,5.32
4.96,12.56,4.32
1006.91,12.64,3.79
5.09,12.84,4.54
7.28,12.07,1009.35
7.3,11.85,3.2
5.61,11.77,3.15
5.45,11.73,1007.19
7.08,18.17,1008.61
5.06,11.92,3.19
7.13,13.24,1010.91
5.29,11.72,4.23
7.14,19.1,4.55
5.6,1092.25,3.86
5.05,1041.72,4.12
7.21,11.96,3.2
5.15,11.88,5.13
5.0,12.04,5.32
5.39,18.16,3.19
1004.64,13.38,1030.12
1004.71,12.09,3.58
1004.97,1021.23,3.21
7.06,12.04,3.6
7.27,11.79,3.3
6.71,12.61,1007.65
7.05,12.24,4.69
5.06,12.0,3.39
5.23,11.79,1030.52
5.25,11.95,3.35
7.33,11.73,3009.53
5.3,3010.19,3.22
5.13,13.13,3.07
5.31,12.34,3.18
5.39,11.86,4.5
5.31,13.49,1008.75
5.77,12.26,3.21
5.49,12.03,1007.83
5.13,11.93,3.22
5.06,11.91,3.27
4.93,1093.35,3.17
5.09,1092.35,3.19
4.99,12.16,3.31
4.94,18.19,3.21
4.94,1035.94,3.34
1005.04,18.22,3.33
4.99,11.96,1029.75
5.06,11.83,4.33
7.06,18.11,3.28
5.05,18.21,1008.85
7.01,14.0,1008.93
5.05,18.28,3.32
4.97,12.01,3.15
7.12,1015.11,3061.22
4.97,11.86,1026.86
7.16,11.82,1007.34
5.09,1037.42,1026.93
1005.95,18.16,3001.56
5.17,19.21,4.79
5.33,11.89,3.22
5.18,1013.25,1008.37
5.06,11.78,3.63
4.95,11.95,3.17
5.39,11.69,4.41
4.95,11.84,1008.87
7.26,11.77,3.13
5.58,11.89,3.51
5.29,1014.95,1085.33
5.13,1023.65,3.26
5.29,12.66,4.74
5.26,13.02,1008.81
5.1,13.32,3.21
6.28,12.74,3.3
5.17,12.33,3.28
7.27,12.41,1009.05
7.45,18.86,1029.79
5.59,12.63,3.15
3003.71,12.67,1082.75
5.29,13.25,3.25
5.19,13.04,3.41
1004.7,15.44,3.24
5.4,13.71,3.28
5.23,13.92,1006.55
5.06,16.54,3.3
1005.14,16.29,3.3
5.03,13.95,4.97
5.2,1040.79,3.45
4.95,12.35,3.2
5.18,1015.86,3.39
5.28,12.73,3.23
7.01,13.26,3.62
5.15,22.16,3.27
5.22,19.38,3.22
3002.75,13.45,1014.04
6.0,1013.09,3.31
5.52,15.13,3.23
1004.61,15.16,3.44
1004.4,15.71,3.19
5.47,1047.62,3.35
1005.73,1016.25,3.31
5.01,12.81,3.24
5.17,12.57,4.73
7001.15,18.81,3.35
5.13,11.85,3.35
1005.05,12.03,3.14
1004.88,18.9,3.51
5.02,1017.34,3.2
5.31,12.97,3.13
5.17,15.59,3.31
1004.71,12.29,3.41
5.18,1037.56,3001.43
1004.51,1011.66,3.88
6.95,18.17,3.28
6.97,13.99,3.22
7.21,13.99,3.18
5.5,11.75,1029.8
5.08,1013.25,3.32
5.27,20.29,3.22
5.08,18.13,4.54
1004.58,18.16,4.63
5.19,14.36,4.42
1004.98,11.86,3.26
5.12,11.82,3.22
5.52,1049.49,3.42
7.61,18.13,3.21
1004.69,11.8,3.29
5.22,1040.11,3.2
5.08,1035.16,4.47
5.95,11.81,1008.44
5.06,11.81,3.19
5.11,11.8,3.05
5.05,12.17,3.2
4.95,11.99,3.54
5.51,18.2,1009.95
5.12,11.74,3.26
5.05,11.72,3.3
1004.34,18.13,3.19
5.17,11.71,3.19
5.07,11.75,1009.53
7.92,11.92,4.47
5.07,11.97,3.17
1005.67,1011.72,3.18
1006.46,12.21,3.19
6.23,12.47,3.22
5.04,12.54,3.15
4.99,12.62,4.57
5.04,13.64,3.18
5.03,11.71,3.28
7.1,11.79,3.17
1005.52,11.94,3.2
7.06,11.83,3.15
7.01,11.82,3.17
7.11,11.77,3.25
5.16,12.78,3.32
1005.27,18.2,3.15
5.27,12.19,1009.52
1005.71,12.24,3.23
5.05,11.83,3.27
4.94,3012.66,3.29
1004.49,15.68,1025.85
1004.6,20.78,4.77
5.28,15.6,3.21
5.08,13.13,1008.78
5.57,12.14,3.76
5.09,15.13,3.22
5.42,11.84,3.23
7.31,11.99,3.36
6.46,14.69,4.71
5.26,13.38,1010.21
5.14,13.93,1006.18
5.1,13.4,4.48
5.07,12.86,3.96
5.21,1013.6,3.13
6.6,13.03,3.18
1004.34,3025.82,3.85
5.27,12.45,5.04
5.29,20.59,1029.76
1004.64,1037.29,3.11
6.6,12.54,3.65
5.84,19.58,3.68
5.55,15.07,3.56
7.22,14.61,3.63
7.31,19.51,1009.68
1004.74,19.8,3.67
5.27,12.66,3.26
5.6,19.66,4.48
5.17,12.42,1030.83
5.2,12.47,5.54
3004.61,12.42,3.45
5.04,1092.72,5.19
5.01,12.34,4.3
5.37,1011.84,6.91
7.0,12.63,1006.75
4.96,12.61,3.64
5.03,12.32,3.93
4.93,13.06,3.59
5.05,18.64,3.68
5.03,19.05,1030.74
5.0,12.73,6.1
7.06,18.62,5.07
6.49,12.93,4.52
5.13,11.87,3.52
5.26,12.05,3.11
7.11,1077.08,1023.03
5.17,12.4,1191.43
1006.77,12.35,3.07
5.42,13.76,3.19
5.26,1021.39,3.19
1005.09,13.21,3.21
1005.46,12.52,1033.71
5.36,12.98,3.61
6.62,12.79,4.87
5.3,12.67,4.57
6.57,12.62,3.76
1005.16,12.52,3.25
5.39,12.05,3.2
5.6,12.36,4.15
6.77,12.5,3.25
1006.44,12.61,1078.46
7.18,1014.43,3.48
6.46,13.01,4.66
5.12,12.26,1010.33
5.45,12.16,3.18
