P-521,p521_mlkem1024,mlkem1024
3.98,2008.02,2.15
5.28,40.47,2.36
3.95,10.72,2.3
3.98,10.7,2.07
5.13,10.88,2.07
4.19,10.64,7026.22
5.16,11.53,2.18
5.2,10.89,2.36
5.01,71.83,31.55
3.83,11.87,111.67
4.93,3034.19,2.38
4.02,42.35,2.11
4.04,10.86,3214.08
3.86,10.98,29.78
3.75,18.44,2.0
4.3,3267.86,2.39
5.06,41.42,29.96
4.01,41.17,2.18
5.09,12.18,2.31
3.94,52.85,2.69
4.27,46.99,2.41
3.94,3552.47,2.41
5.01,17.11,2001.29
3.96,12.1,2000.86
3.93,11.22,1001.54
3.75,10.94,2.18
3.9,2011.7,2.22
5.06,11.93,3053.47
5.08,11.09,2.11
5.18,17.1,2.01
3.9,11.29,2.16
4.09,12.37,2.19
5.08,16.54,2000.98
3.92,16.74,2.01
4.14,16.91,2.2
3.97,2010.27,2.15
3.91,4194.98,57.45
5.04,11.04,2.1
3.91,10.94,1001.73
3.92,3034.24,2.16
3.97,12.55,111.65
5.24,2007.29,2.08
4.01,12.4,2.15
4.92,13.35,2.54
5.03,7064.25,2.21
3.91,13.24,2.17
3.89,13.46,2.33
3.96,11.22,2.61
4.89,7061.37,34.11
3.91,3035.41,111.55
3.95,11.03,2.21
3.92,11.61,2.3
3.87,45.52,2.56
5.05,41.07,2.04
3.75,126.2,2.16
5.03,44.59,3286.66
5.29,11.77,2.09
5.02,11.24,2.98
3.92,4084.49,2.03
3.96,69.65,2.23
5.0,3091.78,2.5
5.29,104.23,2.05
3.96,11.5,1.95
5.15,15.73,2.01
4.03,20.55,29.62
3.93,3313.4,2.08
4.04,50.56,2.04
5.03,462.03,2.78
3.88,43.1,2.05
4.95,13.82,2.01
5.08,13.1,2.12
4.98,43.89,2.08
5.1,11.57,2.38
4.96,16.38,1084.84
4.95,11.31,2.85
3.73,16.73,2.09
5.08,11.29,30.14
5.1,3035.07,2.25
3.87,11.12,2.12
4.99,13.05,2.08
3.85,47.87,1001.67
4.3,10.79,2.81
4.0,11.26,2.13
3.97,11.04,2.3
5.1,11.15,2.24
4.09,12.22,2.23
3.93,11.13,3.06
4.09,2011.75,1029.02
5.0,3035.32,1001.58
4.94,12.86,2.18
3.95,4031.26,1001.54
4.02,12.05,2.04
3.92,12.05,3126.45
3.96,3029.81,3.35
5.08,18.84,3.28
5.03,12.24,2001.38
4.93,13.29,2000.39
3.85,13.22,2.22
3.96,14.21,2.37
3.9,11.73,2194.33
5.01,11.37,29.85
5.06,9254.62,2.4
3.76,2012.01,2.08
3.88,4033.67,2.46
5.04,11.47,2.11
4.16,44.37,2.22
3.82,2010.06,29.94
5.2,13.65,29.97
3.93,4033.22,2.38
4.94,10.8,2.98
4.07,129.71,2.09
5.01,11.44,2001.21
5.02,11.8,2.42
5.07,15.11,84.36
4.97,16.14,2082.98
3.95,16.1,2.06
5.01,41.51,1.95
4.97,16.26,34.3
3.94,10.76,3027.26
5.2,10.79,84.26
4.92,10.73,2.89
5.12,40.31,3.09
4.99,10.95,2.35
4.95,10.74,2.51
5.04,10.83,2.23
5.26,48.0,2.06
4.01,2034.46,2.05
3.98,10.69,2000.05
4.21,40.74,3026.79
3.95,11.79,2081.0
5.25,16.97,29.91
5.05,42.57,2.8
5.07,11.66,2.48
5.1,12.96,2.27
4.99,11.85,30.34
5.0,53.42,2.23
5.02,11.65,2000.33
3.99,11.39,2.2
5.03,13.33,2.05
5.07,3034.61,2.09
5.1,11.62,29.77
5.15,16.62,2.39
3.96,12.06,2.02
5.05,11.73,2.4
4.35,11.69,2.5
4.13,13.69,4026.54
5.25,11.29,2.08
3.95,14.15,29.92
5.08,10.88,2001.16
4.91,40.8,2.11
5.09,11.61,29.76
3.9,3007.15,2.41
5.03,11.26,2.07
3.75,12.64,2000.85
4.03,11.51,7005.15
4.07,2008.23,2.32
5.04,14.08,2.05
3.95,11.62,2.4
4.98,125.7,2.12
5.02,3262.68,2000.1
3.96,10.85,2.19
3.99,11.28,2.11
4.03,10.81,2.09
4.06,11.04,2.26
4.36,11.09,2.65
5.1,16.26,2110.33
5.04,10.72,2.09
5.12,11.97,2.32
5.06,10.88,2.12
5.08,70.85,2.12
4.21,11.13,2.16
4.05,47.77,2.07
5.32,11.47,29.97
3.88,16.04,2.31
3.77,16.09,2028.78
3.82,11.44,2.1
4.09,3038.78,2.11
4.25,11.56,1001.56
5.0,14.93,2.33
3.98,2266.39,2.31
3.94,11.16,3.01
5.06,13.6,1.97
5.2,10.87,2.46
3.96,2007.23,2.13
4.29,3008.86,2000.38
5.03,14.19,2.28
3.9,10.96,2.49
3.98,11.42,2.22
3.95,11.61,1.98
5.1,2011.9,1.99
3.95,73.18,2.1
4.0,11.45,2.44
5.07,12.04,2.15
4.98,41.01,3.17
5.27,11.38,2.02
5.08,40.88,2.11
5.26,41.22,34.19
4.04,11.46,2.73
5.08,7047.79,2.25
4.97,10.71,2.23
