timestamp,protocol,auth_mode,sig_alg,kem,network_profile,role,n_runs,cpu_usec_total,cpu_usec_per_handshake,mem_peak_bytes,block_index,n_blocks,seed
2026-08-22T11:55:05+01:00,tls,single,secp384r1,x448_mlkem768,simple,server,125,1107951,8863.608,6844416,1,4,3001
2026-08-22T11:55:05+01:00,tls,single,secp384r1,x448_mlkem768,simple,client,125,7372848,58982.784,5885952,1,4,3001
2026-08-22T11:56:19+01:00,tls,single,mldsa44,mlkem512,simple,server,125,432974,3463.792,6549504,1,4,3001
2026-08-22T11:56:19+01:00,tls,single,mldsa44,mlkem512,simple,client,125,5163730,41309.840,5644288,1,4,3001
2026-08-22T11:58:32+01:00,tls,single,mldsa87,p521_hqc256,simple,server,125,17016397,136131.176,7008256,1,4,3001
2026-08-22T11:58:32+01:00,tls,single,mldsa87,p521_hqc256,simple,client,125,23574227,188593.816,5468160,1,4,3001
2026-08-22T12:00:13+01:00,tls,single,secp384r1,x448_hqc192,simple,server,125,11140823,89126.584,6459392,1,4,3001
2026-08-22T12:00:13+01:00,tls,single,secp384r1,x448_hqc192,simple,client,125,19613940,156911.520,5644288,1,4,3001
2026-08-22T12:01:35+01:00,tls,single,mldsa65,P-384,simple,server,125,924044,7392.352,7184384,1,4,3001
2026-08-22T12:01:35+01:00,tls,single,mldsa65,P-384,simple,client,125,6092839,48742.712,5533696,1,4,3001
2026-08-22T12:03:43+01:00,tls,single,mldsa87,hqc256,simple,server,125,15919507,127356.056,6692864,1,4,3001
2026-08-22T12:03:43+01:00,tls,single,mldsa87,hqc256,simple,client,125,21860239,174881.912,5992448,1,4,3001
2026-08-22T12:05:03+01:00,tls,single,secp384r1,p384_mlkem768,simple,server,125,1491378,11931.024,6983680,1,4,3001
2026-08-22T12:05:03+01:00,tls,single,secp384r1,p384_mlkem768,simple,client,125,8409802,67278.416,5660672,1,4,3001
2026-08-22T12:06:17+01:00,tls,single,secp521r1,P-521,simple,server,125,953800,7630.400,6348800,1,4,3001
2026-08-22T12:06:17+01:00,tls,single,secp521r1,P-521,simple,client,125,6393934,51151.472,5992448,1,4,3001
2026-08-22T12:07:31+01:00,tls,single,secp384r1,x448,simple,server,125,817956,6543.648,6631424,1,4,3001
2026-08-22T12:07:31+01:00,tls,single,secp384r1,x448,simple,client,125,6224900,49799.200,6004736,1,4,3001
2026-08-22T12:09:08+01:00,tls,single,secp384r1,p384_hqc192,simple,server,125,9756236,78049.888,6811648,1,4,3001
2026-08-22T12:09:08+01:00,tls,single,secp384r1,p384_hqc192,simple,client,125,18712963,149703.704,5545984,1,4,3001
2026-08-22T12:10:23+01:00,tls,single,ed25519,mlkem512,simple,server,125,500834,4006.672,6397952,1,4,3001
2026-08-22T12:10:23+01:00,tls,single,ed25519,mlkem512,simple,client,125,5648103,45184.824,5480448,1,4,3001
2026-08-22T12:11:46+01:00,tls,single,mldsa44,hqc128,simple,server,125,3394823,27158.584,6488064,1,4,3001
2026-08-22T12:11:46+01:00,tls,single,mldsa44,hqc128,simple,client,125,9221302,73770.416,5582848,1,4,3001
2026-08-22T12:13:01+01:00,tls,single,mldsa44,x25519_mlkem512,simple,server,125,609163,4873.304,6418432,1,4,3001
2026-08-22T12:13:01+01:00,tls,single,mldsa44,x25519_mlkem512,simple,client,125,5786396,46291.168,5758976,1,4,3001
2026-08-22T12:14:17+01:00,tls,single,ed25519,x25519,simple,server,125,524393,4195.144,6369280,1,4,3001
2026-08-22T12:14:17+01:00,tls,single,ed25519,x25519,simple,client,125,5625715,45005.720,5705728,1,4,3001
2026-08-22T12:15:30+01:00,tls,single,secp384r1,mlkem768,simple,server,125,624770,4998.160,6459392,1,4,3001
2026-08-22T12:15:30+01:00,tls,single,secp384r1,mlkem768,simple,client,125,6112248,48897.984,5791744,1,4,3001
2026-08-22T12:16:47+01:00,tls,single,secp521r1,mlkem1024,simple,server,125,669846,5358.768,6541312,1,4,3001
2026-08-22T12:16:47+01:00,tls,single,secp521r1,mlkem1024,simple,client,125,6137577,49100.616,5836800,1,4,3001
2026-08-22T12:18:04+01:00,tls,single,mldsa44,x25519,simple,server,125,559544,4476.352,6434816,1,4,3001
2026-08-22T12:18:04+01:00,tls,single,mldsa44,x25519,simple,client,125,5541286,44330.288,5713920,1,4,3001
2026-08-22T12:19:29+01:00,tls,single,mldsa44,p256_hqc128,simple,server,125,3821062,30568.496,6807552,1,4,3001
2026-08-22T12:19:29+01:00,tls,single,mldsa44,p256_hqc128,simple,client,125,11034605,88276.840,5779456,1,4,3001
