procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 15120888 166660 5494524    0    0   433  1076 6201    7 11  4 82  2  0  0
 1  1      0 15117536 166688 5494804    0    0     0  2132 5019 8887  7  5 72 16  0  0
 0  1      0 15121912 166728 5494912    0    0     0   932 6051 9437 10  6 75  9  0  0
 3  1      0 15108460 166756 5494804    0    0     0   536 7073 9446 10  7 75  8  0  0
 3  0      0 15120532 166804 5494788    0    0     0  1596 4341 5052  5  5 79 11  0  0
 1  0      0 15124088 166804 5494792    0    0     0     0 11589 10830 10 12 78  0  0  0
 1  0      0 15104188 166804 5490700    0    0     0     0 11550 11057 10 11 78  0  0  0
 3  0      0 15094452 166824 5494804    0    0     0  1292 6276 10445  7  6 78  8  0  0
 9  0      0 15094904 166860 5494912    0    0     0   828 5326 8568  9  5 77  9  0  0
 0  0      0 15101936 166876 5490832    0    0     0   328 4076 4884  4  4 87  4  0  0
 0  0      0 15104648 166876 5490844    0    0     0     0  860 1038  1  2 97  0  0  0
 0  0      0 15129576 166876 5490436    0    0     0     0 2937 4951  3  3 94  0  0  0
 0  0      0 15144460 166876 5494536    0    0     0     4 2192 2343  2  3 94  1  0  0
 0  0      0 15160888 166876 5494540    0    0     0     0 2999 4650  3  3 94  0  0  0
 0  0      0 15101064 166896 5491432    0    0     0   760 3527 5467  9  6 84  2  0  0
 0  1      0 15112488 166896 5495544    0    0     0    80 3911 8032  5  3 90  2  0  0
 2  1      0 15112448 166920 5495840    0    0     0  2300 3296 3374  7  5 64 24  0  0
 0  1      0 15091284 166956 5495952    0    0     0  1020 6806 11637 12  8 73  7  0  0
 0  1      0 15086584 167004 5495972    0    0     0  1684 6844 11098  8  7 72 12  0  0
 0  0      0 15089736 167056 5496064    0    0     0  1076 8204 8926 12  8 70 10  0  0
 2  1      0 15097208 167080 5492016    0    0     0   656 9207 14785 13 11 69  7  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 15088980 167096 5492040    0    0     0  1924 7254 11082 12  9 61 18  0  0
 3  1      0 15074544 167124 5496316    0    0     0   488 8376 11769 13 10 70  7  0  0
 3  2      0 15076940 167156 5496356    0    0     0  1732 8437 12332 12  9 65 14  0  0
 1  0      0 15083480 167192 5496328    0    0     0  1128 8427 9001 16 12 63  8  0  0
 4  1      0 15070568 167208 5492348    0    0     0   596 10836 15224 20 16 59  6  0  0
 7  1      0 15059648 167232 5492364    0    0     0  1916 7656 7992 18 13 57 12  0  0
 0  3      0 15020800 167260 5501836    0    0     0  5080 11170 17597 35 15 42  9  0  0
 4  1      0 15013708 167304 5506580    0    0     0  7148 9923 14319 21 13 54 12  0  0
