procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
21  1      0 15460520 254684 5669380    0    0     0  1668 11757 13083 91  9  0  0  0  0
19  0      0 15463604 254712 5669380    0    0     0  1144 13851 18732 89 11  0  0  0  0
18  2      0 15461040 254740 5669524    0    0     0  2060 12546 15622 89 11  0  0  0  0
15  1      0 15462468 254752 5669568    0    0     0   928 13006 17704 90 10  0  0  0  0
14  1      0 15454648 254756 5669672    0    0     0   604 14539 21426 88 12  0  0  0  0
22  1      0 15450896 254772 5669800    0    0     0  2036 12263 14908 90 10  0  0  0  0
12  1      0 15457436 254784 5669820    0    0     0  1280 11459 11816 90 10  0  0  0  0
22  0      0 15469276 254800 5669876    0    0     0   532 13515 18222 88 12  0  0  0  0
13  1      0 15477360 254808 5669772    0    0     0  1776 13599 19499 90 10  0  0  0  0
16  1      0 15472964 254812 5669680    0    0     0  1316 11589 13453 90 10  0  0  0  0
20  0      0 15460612 254820 5669748    0    0     0   444 13931 19551 88 12  0  0  0  0
14  5      0 15466452 254840 5669892    0    0     0  1952 11976 14069 91  9  0  0  0  0
15  2      0 15475524 254844 5669912    0    0     0  1384 12701 15562 90 10  0  0  0  0
14  1      0 15461996 254860 5669920    0    0     0   508 13857 20700 89 11  0  0  0  0
16  7      0 15453948 254868 5670096    0    0     0  2076 13240 18156 89 10  0  0  0  0
12  2      0 15428780 254876 5670184    0    0     0  1348 12201 14774 90 10  0  0  0  0
14  1      0 15431412 254888 5670228    0    0     0   508 12938 15906 89 11  0  0  0  0
17  2      0 15434560 254896 5670372    0    0     0   896 12197 14577 90 11  0  0  0  0
13  1      0 15434068 254900 5670420    0    0     0  1588 13038 18682 91  9  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  1      0 15428052 254920 5670420    0    0     0  1596 12452 15822 88 12  0  0  0  0
21  2      0 15428820 254920 5670500    0    0     0   364 15603 23949 86 14  0  0  0  0
15  3      0 15441440 254932 5670296    0    0     0  2612 12083 14327 89 11  0  0  0  0
14  4      0 15474088 254948 5670280    0    0     0  1428 12133 14747 87 10  1  2  0  0
15  5      0 15465832 254972 5674512    0    0     0  1580 11892 15442 90 10  0  0  0  0
16  3      0 15486444 254972 5674556    0    0     0  1568 11271 12343 90 10  0  0  0  0
20  2      0 15477296 254984 5674568    0    0     0  1236 12315 15031 90 10  0  0  0  0
14  2      0 15467128 254996 5672168    0    0     0  1868 11048 11267 90 10  0  0  0  0
18  2      0 15483716 255012 5672168    0    0     0  1272 12021 13127 89 11  0  0  0  0
26  3      0 15484732 255036 5672120    0    0     0  1544 11275 12388 89 10  0  1  0  0
25  0      0 15430252 255056 5674224    0    0     0   688 12607 16410 89 11  0  0  0  0
17  1      0 15411720 255064 5674836    0    0     0  1572 12562 15855 89 11  0  0  0  0
15  1      0 15401340 255068 5674876    0    0     0   904 10844 10837 91  8  0  0  0  0
23  1      0 15390168 255068 5674896    0    0     0  1496 11612 12593 90 10  0  0  0  0
20  1      0 15413172 255088 5674916    0    0     0   560 12920 16223 88 12  0  0  0  0
15  2      0 15407488 255104 5675028    0    0     0  1956 13848 21174 89 11  0  0  0  0
19  1      0 15407980 255124 5675044    0    0     0  1268 12032 14035 90 10  0  0  0  0
18  0      0 15411824 255140 5675076    0    0     0   444 13618 19043 88 12  0  0  0  0
24  5      0 15397716 255152 5675288    0    0     0  1868 11921 13834 90 10  0  0  0  0
19  1      0 15407452 255156 5675304    0    0     0  1052 11925 13713 90 10  0  0  0  0
21  0      0 15377828 255172 5675332    0    0     0   540 14484 21334 89 11  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  2      0 15375520 255180 5675256    0    0     0  2328 13108 17033 89 11  0  0  0  0
