Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	04/06/2026 	_x86_64_	(8 CPU)

08:16:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:17:26     all   90,38    0,00    9,12    0,00    0,00    0,25    0,00    0,00    0,00    0,25
08:17:27     all   90,36    0,00    9,51    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:17:28     all   88,39    0,12   11,36    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:17:29     all   89,91    0,12    9,46    0,00    0,00    0,37    0,00    0,00    0,00    0,12
08:17:30     all   87,34    0,00   12,41    0,00    0,00    0,13    0,00    0,00    0,00    0,13
08:17:31     all   89,26    0,00   10,36    0,00    0,00    0,00    0,00    0,00    0,00    0,37
08:17:32     all   90,24    0,00    9,76    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:17:33     all   87,47    0,00   12,03    0,13    0,00    0,13    0,00    0,00    0,00    0,25
08:17:34     all   90,88    0,00    9,00    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:17:35     all   88,78    0,00   10,97    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:36     all   88,85    0,00   10,90    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:37     all   89,46    0,13   10,29    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:17:38     all   87,89    0,00   11,61    0,00    0,00    0,12    0,00    0,00    0,00    0,37
08:17:39     all   89,78    0,00    9,85    0,00    0,00    0,25    0,00    0,00    0,00    0,12
08:17:40     all   89,74    0,13   10,01    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:17:41     all   88,50    0,00   11,38    0,00    0,00    0,00    0,00    0,00    0,00    0,12
08:17:42     all   89,36    0,00   10,51    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:17:43     all   90,60    0,00    9,27    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:17:44     all   87,84    0,00   12,16    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:17:45     all   90,29    0,12    9,34    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:46     all   89,97    0,00    9,77    0,00    0,00    0,13    0,00    0,00    0,00    0,13
08:17:47     all   88,26    0,12   11,24    0,12    0,00    0,12    0,00    0,00    0,00    0,12
08:17:48     all   89,11    0,00   10,51    0,13    0,00    0,13    0,00    0,00    0,00    0,13
08:17:49     all   90,04    0,12    9,59    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:50     all   88,89    0,00   10,61    0,00    0,00    0,25    0,00    0,00    0,00    0,25
08:17:51     all   89,75    0,00   10,25    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:17:52     all   90,10    0,00    9,27    0,13    0,00    0,13    0,00    0,00    0,00    0,38
08:17:53     all   88,17    0,12   11,33    0,00    0,00    0,12    0,00    0,00    0,00    0,25
08:17:54     all   86,23    0,00   13,39    0,13    0,00    0,00    0,00    0,00    0,00    0,25
08:17:55     all   89,00    0,25   10,25    0,00    0,00    0,12    0,00    0,00    0,00    0,38
08:17:56     all   86,61    0,13   10,01    1,88    0,00    0,25    0,00    0,00    0,00    1,13
08:17:57     all   89,40    0,00   10,35    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:58     all   90,10    0,00    9,65    0,25    0,00    0,00    0,00    0,00    0,00    0,00
08:17:59     all   89,62    0,00    9,88    0,12    0,00    0,38    0,00    0,00    0,00    0,00
08:18:00     all   90,35    0,00    9,52    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:18:01     all   88,54    0,12   11,21    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:18:02     all   89,70    0,00    9,55    0,75    0,00    0,00    0,00    0,00    0,00    0,00
08:18:03     all   88,86    0,13   10,64    0,00    0,00    0,25    0,00    0,00    0,00    0,13
08:18:04     all   88,51    0,00   11,24    0,00    0,00    0,12    0,00    0,00    0,00    0,12
08:18:05     all   91,36    0,00    8,51    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:18:06     all   90,12    0,00    9,88    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:18:07     all   88,24    0,00   11,26    0,00    0,00    0,25    0,00    0,00    0,00    0,25
08:18:08     all   88,71    0,00   11,04    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:18:09     all   90,16    0,12    9,59    0,00    0,00    0,00    0,00    0,00    0,00    0,12
08:18:10     all   88,26    0,12   11,36    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:18:11     all   89,75    0,00   10,00    0,00    0,00    0,12    0,00    0,00    0,00    0,12
08:18:12     all   89,47    0,00   10,53    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:18:13     all   89,14    0,00   10,74    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:18:14     all   89,59    0,00   10,29    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:18:15     all   89,91    0,00    9,84    0,12    0,00    0,12    0,00    0,00    0,00    0,00
08:18:16     all   89,21    0,13   10,54    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:18:17     all   87,64    0,00   11,86    0,00    0,00    0,37    0,00    0,00    0,00    0,12
08:18:18     all   88,61    0,00   11,39    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:18:19     all   88,88    0,12   10,62    0,12    0,00    0,25    0,00    0,00    0,00    0,00
08:18:20     all   89,99    0,00    9,89    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:18:21     all   89,39    0,12   10,49    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:18:22     all   87,50    0,12   11,88    0,00    0,00    0,12    0,00    0,00    0,00    0,38
08:18:23     all   90,36    0,00    9,14    0,00    0,00    0,25    0,00    0,00    0,00    0,25
08:18:24     all   89,85    0,00   10,15    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:18:25     all   89,26    0,12   10,24    0,00    0,00    0,12    0,00    0,00    0,00    0,25
08:18:26     all   88,69    0,00   11,18    0,00    0,00    0,00    0,00    0,00    0,00    0,13
