protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,n_blocks_pooled,n_files_pooled,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,ci95_method,ci95_naive_low_ms,ci95_naive_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
tls,single,ed25519,P-256,classique,L1,classique,none,500,500,0,100.0,4,4,1.915,0.31,1.786,2.167,bootstrap_blocs,1.888,1.942,1.765,2.58,2.94,1.62,3.09
tls,single,ed25519,hqc128,pq_pur,L1,classique,none,500,500,0,100.0,4,4,17.204,1.509,16.391,18.617,bootstrap_blocs,17.072,17.336,16.69,19.84,20.802,15.53,30.5
tls,single,ed25519,mlkem512,pq_pur,L1,classique,none,500,500,0,100.0,4,4,1.825,0.255,1.731,2.009,bootstrap_blocs,1.803,1.847,1.71,2.362,2.69,1.53,3.28
tls,single,ed25519,p256_hqc128,hybride,L1,classique,none,500,500,0,100.0,4,4,22.993,1.873,21.7,24.955,bootstrap_blocs,22.829,23.157,22.53,26.612,27.522,20.51,28.55
tls,single,ed25519,p256_mlkem512,hybride,L1,classique,none,500,500,0,100.0,4,4,7.705,0.875,7.24,8.418,bootstrap_blocs,7.628,7.781,7.35,9.37,9.881,6.62,12.17
tls,single,ed25519,x25519_hqc128,hybride,L1,classique,none,500,500,0,100.0,4,4,17.421,1.603,16.431,18.967,bootstrap_blocs,17.28,17.561,16.905,20.23,21.312,15.69,29.88
tls,single,ed25519,x25519_mlkem512,hybride,L1,classique,none,500,500,0,100.0,4,4,2.124,0.308,2.003,2.342,bootstrap_blocs,2.097,2.151,2.0,2.8,3.3,1.81,3.69
tls,single,ed25519,x25519,classique,L1,classique,none,500,500,0,100.0,4,4,1.766,0.251,1.654,1.973,bootstrap_blocs,1.744,1.788,1.65,2.23,2.69,1.52,3.11
tls,single,mldsa44,P-256,classique,L1,pq,none,500,500,0,100.0,4,4,1.697,0.214,1.639,1.793,bootstrap_blocs,1.679,1.716,1.62,2.11,2.38,1.43,3.25
tls,single,mldsa44,hqc128,pq_pur,L1,pq,none,500,500,0,100.0,4,4,18.233,3.063,16.504,21.479,bootstrap_blocs,17.964,18.501,16.89,25.101,26.701,15.45,29.34
tls,single,mldsa44,mlkem512,pq_pur,L1,pq,none,500,500,0,100.0,4,4,1.62,0.267,1.527,1.782,bootstrap_blocs,1.596,1.643,1.52,2.14,2.501,1.35,3.43
tls,single,mldsa44,p256_hqc128,hybride,L1,pq,none,500,500,0,100.0,4,4,22.65,2.191,21.413,24.706,bootstrap_blocs,22.458,22.842,21.895,26.403,28.563,20.22,39.46
