protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
quic,single,ed25519,P-256,classique,L1,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,68.548,77.341,61.769,75.327,62.24,63.05,63.496,61.96,1061.4
quic,single,ed25519,hqc128,pq_pur,L1,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,80.685,34.84,77.631,83.738,76.9,87.003,89.691,75.94,622.88
quic,single,ed25519,mlkem512,pq_pur,L1,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,64.395,48.626,60.132,68.657,62.01,62.72,63.331,61.72,1147.8
quic,single,ed25519,p256_hqc128,hybride,L1,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,87.267,24.958,85.08,89.455,83.525,98.825,106.229,82.55,627.64
quic,single,ed25519,p256_mlkem512,hybride,L1,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,77.56,84.142,70.185,84.936,69.875,75.127,78.815,68.63,1156.48
quic,single,ed25519,x25519_hqc128,hybride,L1,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,78.865,3.764,78.535,79.195,77.56,84.84,89.09,77.21,139.26
quic,single,ed25519,x25519_mlkem512,hybride,L1,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,66.176,48.65,61.912,70.44,63.62,64.99,65.863,63.2,1149.92
quic,single,ed25519,x25519,classique,L1,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,62.283,2.712,62.045,62.521,62.05,62.77,63.06,61.76,122.47
quic,single,mldsa44,P-256,classique,L1,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,138.364,146.254,125.544,151.184,122.48,122.95,373.777,122.17,1583.39
quic,single,mldsa44,hqc128,pq_pur,L1,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,142.85,55.954,137.945,147.754,136.62,148.02,169.105,135.94,1207.59
quic,single,mldsa44,mlkem512,pq_pur,L1,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,122.84,8.426,122.101,123.578,122.32,122.9,123.17,121.92,300.78
quic,single,mldsa44,p256_hqc128,hybride,L1,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,148.157,28.972,145.617,150.696,143.615,159.265,162.42,142.75,727.32
quic,single,mldsa44,p256_mlkem512,hybride,L1,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,130.591,8.702,129.829,131.354,129.19,133.76,135.053,128.76,309.05
quic,single,mldsa44,x25519_hqc128,hybride,L1,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,142.586,39.086,139.16,146.012,137.77,149.22,155.219,137.36,725.0
quic,single,mldsa44,x25519_mlkem512,hybride,L1,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,124.985,11.66,123.963,126.007,123.935,125.231,126.161,123.32,303.31
quic,single,mldsa44,x25519,classique,L1,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,125.343,65.411,119.61,131.077,122.275,122.611,122.864,121.89,1583.78
quic,single,mldsa65,P-384,classique,L3,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,138.805,190.539,122.104,155.507,124.49,126.44,363.213,124.02,3123.34
quic,single,mldsa65,hqc192,pq_pur,L3,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,176.506,52.805,171.877,181.134,169.67,187.56,236.485,169.03,987.83
quic,single,mldsa65,mlkem768,pq_pur,L3,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,127.0,90.236,119.091,134.91,122.36,122.79,123.19,122.05,2125.61
quic,single,mldsa65,p384_hqc192,hybride,L3,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,185.321,38.573,181.94,188.702,179.265,201.994,246.751,177.88,1005.88
quic,single,mldsa65,p384_mlkem768,hybride,L3,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,134.05,18.938,132.39,135.71,131.55,137.041,139.422,131.0,374.39
quic,single,mldsa65,x448_hqc192,hybride,L3,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,182.013,38.56,178.633,185.393,174.935,207.576,239.59,171.86,996.13
quic,single,mldsa65,x448_mlkem768,hybride,L3,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,126.584,15.342,125.239,127.929,125.19,126.802,127.838,124.69,364.66
quic,single,mldsa65,x448,classique,L3,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,147.365,267.46,123.921,170.808,123.12,124.081,126.132,122.81,3122.9
quic,single,mldsa87,P-521,classique,L5,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,143.382,233.75,122.893,163.871,124.78,127.034,132.533,124.2,3191.8
quic,single,mldsa87,hqc256,pq_pur,L5,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,393.353,24.635,391.193,395.512,386.82,417.156,448.998,382.84,854.51
quic,single,mldsa87,mlkem1024,pq_pur,L5,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,131.857,134.387,120.078,143.637,122.725,123.33,123.81,122.24,2243.74
quic,single,mldsa87,p521_hqc256,hybride,L5,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,402.243,33.387,399.316,405.169,395.035,430.141,463.977,233.61,862.88
quic,single,mldsa87,p521_mlkem1024,hybride,L5,pq,simple_loss0.3_delay30.02ms,500,500,0,100.0,133.752,11.471,132.747,134.758,132.205,138.623,140.5,130.93,375.03
quic,single,secp384r1,P-384,classique,L3,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,67.898,44.799,63.971,71.825,65.335,68.54,68.788,65.09,1065.57
quic,single,secp384r1,hqc192,pq_pur,L3,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,108.214,6.55,107.64,108.788,105.53,121.898,130.535,104.91,166.34
quic,single,secp384r1,mlkem768,pq_pur,L3,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,65.595,44.817,61.667,69.524,63.29,64.71,64.891,63.08,1063.86
quic,single,secp384r1,p384_hqc192,hybride,L3,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,120.587,35.974,117.434,123.74,114.815,137.412,154.523,113.95,671.89
quic,single,secp384r1,p384_mlkem768,hybride,L3,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,76.075,54.103,71.333,80.818,72.45,78.64,80.804,72.11,1280.65
quic,single,secp384r1,x448_hqc192,hybride,L3,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,110.965,6.846,110.365,111.565,108.24,125.644,135.193,107.58,170.02
quic,single,secp384r1,x448_mlkem768,hybride,L3,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,66.584,2.914,66.329,66.839,66.0,68.461,69.431,65.74,127.8
quic,single,secp384r1,x448,classique,L3,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,64.412,2.795,64.167,64.657,63.97,66.036,67.032,63.74,124.46
quic,single,secp521r1,P-521,classique,L5,classique,simple_loss0.3_delay30.02ms,500,500,0,100.0,71.658,77.283,64.884,78.432,65.195,67.35,68.753,64.96,1064.89
