P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
8.52,5.19,17.71,6.26,4.62
8.58,4.87,15.1,5.59,4.16
9.13,5.63,14.86,5.43,4.18
11.16,7.56,14.59,5.69,4.28
8.77,5.93,14.7,5.65,5.03
8.81,5.05,14.7,6.76,6.19
9.2,5.14,14.28,5.7,4.81
8.55,5.09,16.57,5.66,4.26
8.41,5.03,15.59,5.71,4.29
9.73,5.32,15.19,5.75,4.32
8.33,5.16,14.87,6.03,5.29
9.26,5.67,15.51,6.81,4.72
9.15,6.55,17.16,9.34,5.14
8.64,5.8,15.14,6.25,4.9
9.65,5.6,15.12,6.74,4.4
9.22,5.11,15.13,6.82,4.38
9.36,5.12,17.01,5.93,4.58
8.67,5.25,15.33,5.94,4.41
8.67,5.02,16.26,5.9,4.7
8.5,5.04,15.73,5.93,5.24
8.37,5.05,16.53,5.91,4.68
8.31,5.29,15.69,5.93,4.29
8.67,5.36,16.34,5.78,4.29
8.45,5.89,15.33,5.86,5.15
9.14,6.39,15.68,5.76,4.38
8.9,5.61,15.62,5.8,4.62
8.99,5.14,15.76,5.76,5.52
9.28,5.24,16.38,5.89,4.43
8.79,4.98,15.12,6.49,4.37
8.51,5.08,15.44,6.9,4.36
9.42,5.17,15.41,7.08,4.38
8.46,6.0,15.89,6.2,4.41
8.12,5.41,16.54,6.0,5.02
8.49,5.96,15.04,5.89,5.21
9.44,5.11,15.25,5.89,4.43
8.71,5.12,15.68,6.28,4.36
8.24,4.97,15.54,5.75,4.35
7.97,5.01,16.21,5.86,4.48
8.05,5.05,15.79,5.79,5.24
8.26,5.07,15.16,5.77,5.25
8.25,5.17,16.24,6.02,4.25
8.7,5.6,15.5,5.88,4.25
9.79,6.06,16.04,6.08,4.23
9.09,5.52,16.42,6.05,4.46
9.09,5.14,14.85,7.24,5.08
8.97,4.93,14.76,6.8,4.16
9.12,4.94,15.55,6.47,4.54
8.65,5.05,15.51,6.82,4.39
8.62,5.32,17.1,7.03,4.52
8.75,6.14,15.37,7.14,4.94
8.87,5.52,15.76,6.18,5.1
8.33,5.24,16.2,5.91,4.47
8.23,4.95,15.92,5.93,4.47
8.35,5.02,15.47,5.88,4.42
8.33,5.06,15.63,5.92,4.35
8.32,5.06,16.09,5.9,4.45
8.46,5.06,15.99,5.86,5.06
8.74,5.27,15.4,5.9,5.17
9.39,5.89,15.15,6.08,4.42
9.19,5.67,15.86,5.92,4.38
9.55,5.46,15.07,6.11,4.41
9.56,4.95,14.69,5.73,4.55
9.86,5.06,14.68,5.81,5.46
8.77,5.06,14.8,7.61,5.25
8.54,5.06,15.23,5.92,4.5
8.31,5.23,15.24,6.88,4.41
8.36,5.08,15.98,6.12,4.19
8.71,5.22,15.68,6.5,4.35
8.66,6.05,15.76,6.21,4.96
8.74,5.98,15.57,5.91,4.78
9.57,5.42,15.59,5.72,4.29
8.8,5.11,15.69,5.67,4.18
8.94,5.06,16.1,5.73,4.27
9.16,5.09,14.76,5.67,4.83
8.95,5.04,15.2,5.72,4.61
8.51,5.13,14.88,5.71,5.0
8.38,5.83,15.81,5.87,4.4
8.62,5.95,15.08,6.5,4.26
8.28,6.37,15.47,7.29,4.24
8.83,5.68,15.5,7.1,4.5
9.79,4.91,14.63,6.39,4.81
8.69,4.91,14.9,6.33,4.26
8.44,4.94,15.76,5.49,4.61
8.21,6.1,14.55,5.69,4.25
8.11,4.88,15.61,5.51,4.29
8.15,4.94,14.67,5.67,4.85
8.19,5.79,15.19,5.71,4.54
8.2,5.72,14.59,5.78,4.27
8.25,5.9,14.93,5.83,4.26
8.04,4.92,14.75,6.55,4.25
8.01,5.37,14.54,6.57,5.23
8.06,5.07,15.06,6.7,4.98
8.52,5.17,15.88,6.24,4.28
9.02,5.04,14.5,5.77,4.25
9.86,5.56,14.13,5.88,4.33
8.61,6.37,14.45,7.19,4.98
9.27,5.64,16.58,5.82,5.5
8.25,5.49,16.8,5.68,4.25
8.31,8.69,14.39,5.89,4.25
8.32,6.52,14.8,6.01,4.23
8.41,6.56,17.22,5.77,4.36
8.45,6.25,15.43,5.71,4.88
8.85,6.61,15.49,5.67,4.44
8.65,6.3,16.04,5.74,4.26
8.61,6.29,15.27,5.68,4.34
8.28,6.0,16.09,5.98,4.25
8.58,5.62,15.26,6.78,4.49
8.3,5.12,14.8,6.39,5.2
8.47,5.07,15.3,7.58,4.26
8.58,5.08,15.03,6.94,4.46
8.54,5.1,14.5,6.02,4.22
8.19,5.06,14.84,5.72,4.25
8.68,5.27,16.37,5.75,4.59
8.21,5.4,14.59,5.65,5.13
9.45,6.33,14.91,5.88,4.29
9.42,5.58,14.57,5.86,4.25
8.93,5.16,15.18,5.96,4.23
8.07,5.28,14.56,6.08,4.68
8.35,4.9,14.99,6.73,4.99
8.0,4.92,14.32,6.34,4.35
9.17,5.08,16.58,6.88,4.8
8.26,5.18,13.66,7.16,4.25
8.27,5.64,15.09,6.4,4.27
8.4,5.58,14.33,6.64,4.38
8.48,5.81,18.21,6.36,4.55
9.21,6.2,15.59,6.1,4.75
9.06,5.84,15.77,5.71,4.91
8.94,5.43,16.47,5.71,4.36
8.52,5.53,16.8,5.63,4.41
8.36,5.13,15.98,5.67,4.25
8.05,5.01,15.11,5.72,4.44
8.75,5.08,13.82,5.75,4.67
8.69,5.06,15.3,5.74,4.31
8.45,5.05,15.02,5.83,4.53
8.07,5.25,14.94,6.49,4.27
8.01,5.61,15.12,6.24,4.28
8.97,6.06,14.68,6.4,5.4
8.27,5.7,14.46,6.19,5.25
8.29,5.09,14.38,5.67,4.26
9.19,4.88,14.59,5.65,4.15
7.99,5.04,14.99,5.6,4.74
8.21,5.04,17.21,5.62,4.29
8.62,5.09,14.98,5.73,4.86
8.81,5.33,18.78,5.8,5.83
8.75,5.65,15.5,6.01,4.39
9.07,6.39,15.42,6.86,4.26
8.93,5.98,13.8,6.75,4.27
8.65,5.11,15.39,7.91,4.23
8.77,5.11,13.99,6.3,4.86
8.09,5.05,13.71,7.84,5.2
8.2,5.08,17.83,6.58,5.06
8.99,5.02,14.32,6.25,4.27
8.69,5.02,17.29,5.91,4.33
8.13,5.09,15.28,5.64,4.17
9.79,5.34,14.61,5.58,4.28
8.15,5.68,15.03,5.58,4.43
8.48,5.86,14.69,5.93,5.23
8.78,5.53,14.4,5.7,4.67
8.79,5.12,14.85,5.78,4.25
9.21,4.91,14.98,5.79,4.25
8.44,4.9,15.21,6.36,4.29
8.43,4.92,15.6,6.39,4.46
8.69,5.03,15.4,6.29,4.62
8.27,5.5,15.47,6.24,4.26
8.46,5.33,14.75,6.11,4.18
11.15,5.19,14.25,6.13,4.71
7.75,4.94,15.46,5.96,4.55
7.99,4.98,14.43,6.0,4.92
8.38,4.93,14.55,5.71,4.71
7.87,5.0,14.53,5.67,5.03
8.38,6.08,14.9,5.67,5.16
9.14,6.01,14.76,5.91,4.24
9.29,5.27,14.35,5.6,4.27
8.47,4.98,15.28,5.81,4.71
8.44,4.88,15.82,6.32,4.55
8.51,4.92,15.52,6.33,4.18
8.8,5.01,15.16,6.57,4.18
8.62,4.98,15.48,6.82,4.18
8.63,5.73,14.75,6.19,4.26
8.39,6.35,15.4,6.47,4.55
8.41,5.19,15.32,5.66,5.23
9.45,4.96,15.83,5.72,4.27
9.13,4.88,15.13,5.69,4.22
9.11,4.92,14.95,5.72,4.87
8.38,4.88,15.8,5.67,4.25
8.43,5.2,14.54,5.72,4.31
8.91,5.5,14.35,5.74,5.14
8.04,5.92,16.11,7.8,4.69
8.02,4.93,20.41,5.71,4.3
8.13,4.87,14.06,5.92,4.46
8.02,4.89,14.32,6.42,5.63
8.61,4.91,14.08,6.21,4.38
8.25,5.24,15.51,5.89,5.29
9.23,5.67,14.77,7.21,4.59
8.99,5.34,14.29,5.58,4.71
9.59,4.9,14.16,5.68,4.5
8.71,4.88,14.5,5.71,4.3
8.88,4.89,14.92,6.07,4.79
8.21,4.92,17.33,6.57,4.28
8.38,5.87,15.84,6.39,5.04
8.93,5.3,14.3,6.35,5.67
9.37,5.66,14.4,5.58,4.51
9.4,7.02,14.98,5.74,4.25
9.12,4.96,16.51,7.39,4.23
8.35,4.9,18.39,5.67,4.34
8.79,5.05,14.09,6.15,4.45
8.27,4.93,14.24,6.47,4.73
8.45,5.14,14.04,5.88,4.44
8.29,5.46,15.06,5.76,4.19
8.44,5.42,15.07,5.65,4.24
8.59,4.95,14.46,5.72,4.36
8.38,4.89,18.93,5.77,5.0
8.27,5.05,16.5,5.85,4.71
8.19,5.17,15.26,6.01,4.47
8.01,5.04,16.73,6.24,4.27
7.96,5.07,14.15,6.72,4.28
7.96,5.36,19.56,6.24,4.25
7.99,5.92,15.17,5.76,4.38
8.29,4.92,16.35,5.77,4.62
8.24,4.89,14.68,5.55,5.74
9.85,4.89,15.58,5.55,5.01
9.06,4.91,15.28,5.72,4.2
9.18,4.97,14.47,5.67,4.24
9.0,5.57,14.84,6.02,6.13
9.05,5.59,15.99,5.92,4.41
8.98,4.85,14.04,6.14,4.3
8.79,4.76,14.78,6.54,4.75
8.66,4.9,1071.53,6.08,4.62
9.3,4.88,15.34,5.76,4.74
8.31,5.43,15.08,6.34,5.47
10.85,5.71,15.06,6.99,4.27
7.97,5.35,15.48,6.25,4.24
7.92,5.58,14.94,5.72,4.39
7.73,4.66,14.5,5.67,4.34
8.56,4.77,1059.51,5.63,4.98
9.94,4.93,15.22,5.71,4.09
9.89,5.04,15.26,5.71,4.39
8.72,5.42,14.73,6.13,5.08
8.1,6.06,14.34,5.9,4.24
7.99,6.04,15.22,6.16,5.42
8.12,5.43,1020.4,6.61,4.6
8.01,5.43,15.63,6.0,4.38
10.54,4.91,16.52,5.4,4.67
8.32,4.95,1027.25,5.57,4.29
