Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	03/06/2026 	_x86_64_	(8 CPU)

09:03:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:03:05     all    7,86    0,25    5,07   10,90    0,00    0,00    0,00    0,00    0,00   75,92
09:03:06     all    7,12    0,13    4,07    9,67    0,00    0,00    0,00    0,00    0,00   79,01
09:03:07     all   11,79    0,00    7,73    6,59    0,00    0,00    0,00    0,00    0,00   73,89
09:03:08     all    6,08    0,13    4,30   11,01    0,00    0,00    0,00    0,00    0,00   78,48
09:03:09     all    9,21    0,00    8,82    5,75    0,00    0,00    0,00    0,00    0,00   76,21
09:03:10     all    7,02    0,25    5,39   14,54    0,00    0,00    0,00    0,00    0,00   72,81
09:03:11     all    9,72    0,13    7,67    6,01    0,00    0,00    0,00    0,00    0,00   76,47
09:03:12     all    1,25    0,00    1,76    0,50    0,00    0,00    0,00    0,00    0,00   96,49
09:03:13     all    2,53    0,00    2,41    0,00    0,00    0,00    0,00    0,00    0,00   95,06
09:03:14     all    1,75    0,00    2,38    0,00    0,00    0,00    0,00    0,00    0,00   95,87
09:03:15     all    0,75    0,00    1,64    0,00    0,00    0,00    0,00    0,00    0,00   97,61
09:03:16     all    4,03    0,00    4,15    1,26    0,00    0,00    0,00    0,00    0,00   90,57
09:03:17     all    1,01    0,00    1,64    0,13    0,00    0,00    0,00    0,00    0,00   97,23
09:03:18     all    5,17    0,00    3,78    8,20    0,00    0,25    0,00    0,00    0,00   82,60
09:03:19     all    6,35    0,13    4,70   10,80    0,00    0,00    0,00    0,00    0,00   78,02
09:03:20     all    9,97    0,13    7,29    7,42    0,00    0,00    0,00    0,00    0,00   75,19
09:03:21     all    4,15    0,25    3,65   20,88    0,00    0,13    0,00    0,00    0,00   70,94
09:03:22     all   11,37    0,26    8,81    7,02    0,00    0,13    0,00    0,00    0,00   72,41
09:03:23     all   12,93    0,26    9,48   13,06    0,00    0,13    0,00    0,00    0,00   64,15
09:03:24     all   11,08    0,00    8,41   10,96    0,00    0,13    0,00    0,00    0,00   69,43
09:03:25     all   12,71    0,26    9,24    6,55    0,00    0,13    0,00    0,00    0,00   71,12
09:03:26     all   14,78    0,13    9,81   13,63    0,00    0,00    0,00    0,00    0,00   61,66
09:03:27     all   12,77    0,13    9,32    6,51    0,00    0,13    0,00    0,00    0,00   71,14
09:03:28     all   16,34    0,13   12,74   12,74    0,00    0,26    0,00    0,00    0,00   57,79
09:03:29     all   12,34    0,00    9,54   10,56    0,00    0,25    0,00    0,00    0,00   67,30
09:03:30     all   24,03    0,00   17,31    4,26    0,00    0,26    0,00    0,00    0,00   54,13
09:03:31     all   17,30    0,25   13,23   20,36    0,00    0,51    0,00    0,00    0,00   48,35
09:03:32     all   24,49    0,26   17,22    5,87    0,00    0,13    0,00    0,00    0,00   52,04
09:03:33     all   20,60    0,13   14,64    9,07    0,00    0,26    0,00    0,00    0,00   55,31
09:03:34     all    9,77    0,00    8,25   16,12    0,00    0,13    0,00    0,00    0,00   65,74
09:03:35     all   16,67    0,00   12,69    5,90    0,00    0,38    0,00    0,00    0,00   64,36
09:03:36     all   14,89    0,13   11,68   13,35    0,00    0,26    0,00    0,00    0,00   59,69
09:03:37     all   21,75    0,39   13,77    7,72    0,00    0,26    0,00    0,00    0,00   56,11
09:03:38     all   19,97    0,13   14,82    5,03    0,00    0,26    0,00    0,00    0,00   59,79
09:03:39     all   16,35    0,00   12,52   16,09    0,00    0,13    0,00    0,00    0,00   54,92
09:03:40     all   23,66    0,38   16,28    7,00    0,00    0,51    0,00    0,00    0,00   52,16
09:03:41     all   17,78    0,00   13,92    9,02    0,00    0,26    0,00    0,00    0,00   59,02
09:03:42     all   18,95    0,13   11,65   10,63    0,00    0,13    0,00    0,00    0,00   58,51
09:03:43     all   20,82    0,13   15,20    5,87    0,00    0,38    0,00    0,00    0,00   57,60
09:03:44     all   13,30    0,00   10,49    0,77    0,00    0,13    0,00    0,00    0,00   75,32
09:03:45     all   11,21    0,00   10,45    0,25    0,00    0,00    0,00    0,00    0,00   78,09
09:03:46     all    8,25    0,00    8,12    0,00    0,00    0,00    0,00    0,00    0,00   83,63
09:03:47     all   12,48    0,00    9,55    0,00    0,00    0,13    0,00    0,00    0,00   77,83
09:03:48     all    6,57    0,00    6,70    0,00    0,00    0,25    0,00    0,00    0,00   86,47
09:03:49     all   12,82    0,00   10,91    0,89    0,00    0,25    0,00    0,00    0,00   75,13
09:03:50     all   11,42    0,00    7,61    0,00    0,00    0,38    0,00    0,00    0,00   80,58
09:03:51     all   11,32    0,00    9,41    0,00    0,00    0,25    0,00    0,00    0,00   79,01
09:03:52     all   14,30    0,00    9,20    0,00    0,00    0,00    0,00    0,00    0,00   76,50
09:03:53     all    9,00    0,00    7,73    0,00    0,00    0,13    0,00    0,00    0,00   83,14
09:03:54     all    9,62    0,00    7,85    1,65    0,00    0,13    0,00    0,00    0,00   80,76
09:03:55     all    8,23    0,00    7,22    0,00    0,00    0,00    0,00    0,00    0,00   84,56
