protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,n_blocks_pooled,n_files_pooled,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,ci95_method,ci95_naive_low_ms,ci95_naive_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
tls,mutual,ed25519,P-256,classique,L1,classique,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,295.342,149.883,287.236,303.095,bootstrap_blocs,282.204,308.48,268.46,274.627,1275.551,255.84,1317.83
tls,mutual,ed25519,hqc128,pq_pur,L1,classique,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,346.737,149.954,326.715,372.249,bootstrap_blocs,333.593,359.881,318.5,462.077,1348.766,276.12,1402.6
tls,mutual,ed25519,mlkem512,pq_pur,L1,classique,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,282.04,100.059,277.12,288.636,bootstrap_blocs,273.269,290.81,268.865,273.161,906.497,255.88,1311.8
tls,mutual,ed25519,p256_hqc128,hybride,L1,classique,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,345.559,123.807,333.983,357.136,bootstrap_blocs,334.707,356.412,325.45,356.18,1298.658,276.92,1353.68
tls,mutual,ed25519,p256_mlkem512,hybride,L1,classique,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,308.094,144.024,304.345,311.843,bootstrap_blocs,295.47,320.718,285.8,292.618,1287.87,261.96,1409.95
tls,mutual,ed25519,x25519_hqc128,hybride,L1,classique,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,340.109,153.193,320.734,360.657,bootstrap_blocs,326.681,353.537,314.965,451.676,985.866,269.82,1979.96
tls,mutual,ed25519,x25519_mlkem512,hybride,L1,classique,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,289.827,127.763,282.818,302.33,bootstrap_blocs,278.628,301.026,269.79,272.291,1033.397,255.51,1320.68
tls,mutual,ed25519,x25519,classique,L1,classique,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,291.736,156.637,281.566,306.664,bootstrap_blocs,278.007,305.466,269.235,271.654,1273.24,255.72,2334.3
tls,mutual,mldsa44,P-256,classique,L1,pq,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,342.371,143.163,333.22,351.522,bootstrap_blocs,329.822,354.92,327.135,432.608,1312.792,274.08,1349.92
tls,mutual,mldsa44,hqc128,pq_pur,L1,pq,simple_loss1.3_delay62.51ms,500,500,0,100.0,4,4,363.865,125.353,345.038,389.624,bootstrap_blocs,352.877,374.852,334.705,455.347,1328.505,281.89,1421.92
