P-384,x448,hqc192,p384_hqc192,x448_hqc192
75.41,74.02,117.31,125.97,117.85
75.41,73.87,121.3,128.38,117.69
75.31,73.96,134.99,124.31,117.83
77.41,73.91,115.4,124.46,118.47
1076.44,76.39,115.36,124.19,117.85
75.45,73.84,115.46,124.23,118.59
75.23,73.95,129.75,143.55,118.32
75.38,74.02,117.19,124.23,118.04
75.27,74.07,125.85,124.25,117.94
75.34,73.81,117.53,124.08,117.76
75.44,73.86,115.31,124.51,118.54
75.19,76.17,802.38,124.15,118.31
75.35,73.81,115.7,124.35,117.81
75.72,73.91,115.63,124.27,128.47
75.27,76.36,115.32,125.08,117.84
75.53,73.97,115.3,132.56,118.05
75.35,73.99,115.08,124.55,119.1
75.41,73.91,117.98,125.12,120.07
75.3,74.09,115.67,124.34,117.95
75.4,76.37,115.28,124.13,118.1
75.38,73.95,121.76,124.46,119.17
75.37,73.79,115.34,131.79,138.13
77.31,73.92,115.23,124.47,133.74
77.42,73.97,115.26,124.32,118.23
75.25,73.86,129.9,124.35,123.49
1075.22,74.19,122.2,125.03,118.32
75.67,73.88,118.87,142.53,118.33
75.19,73.86,802.69,124.04,132.54
75.21,73.93,127.92,124.31,117.88
75.21,74.12,115.04,124.2,118.04
75.28,73.87,130.0,124.38,117.9
75.48,73.83,116.15,125.09,133.28
75.31,74.07,117.51,140.47,120.04
75.29,73.97,130.32,124.52,117.79
75.33,74.11,115.25,124.17,117.92
77.41,73.98,115.3,140.72,118.31
75.17,73.93,115.67,142.72,119.55
75.36,73.81,115.4,124.02,122.19
75.18,73.98,115.1,124.0,118.43
75.25,73.97,115.28,124.54,134.02
75.28,76.39,130.75,124.29,135.75
75.4,74.05,117.86,124.27,133.6
75.26,73.74,117.44,124.85,121.17
75.39,73.96,130.05,134.57,118.06
75.33,74.05,115.3,130.26,117.84
75.17,73.78,115.48,142.9,123.11
77.29,73.91,115.5,124.33,117.82
75.34,74.02,117.76,144.84,118.91
75.27,76.32,115.31,142.8,118.02
75.72,73.9,130.93,124.71,123.05
75.33,74.05,131.22,128.78,117.74
75.43,76.2,115.42,126.59,118.4
75.31,74.01,115.61,124.72,118.17
75.31,73.9,115.55,129.37,118.05
75.25,73.83,115.26,124.4,118.08
75.68,74.03,115.47,124.57,118.42
1075.38,73.85,115.78,124.15,137.19
75.99,73.9,115.02,124.06,132.91
75.2,73.88,115.5,142.89,128.17
75.38,74.09,119.93,143.59,117.71
75.25,73.91,115.26,129.24,118.17
75.33,74.38,115.39,125.19,117.79
75.23,74.2,115.25,132.48,120.2
75.48,73.9,117.0,124.18,118.05
75.26,73.89,115.32,135.77,133.44
75.29,73.93,115.3,124.28,138.34
78.51,73.99,121.64,124.11,120.72
75.5,74.03,130.16,125.09,117.92
78.56,75.7,116.51,124.05,118.02
78.61,73.95,115.13,124.45,117.77
75.36,76.32,115.23,126.83,117.8
75.82,73.99,121.61,125.66,119.5
75.13,73.94,115.74,128.66,126.78
85.86,76.18,117.89,124.83,117.93
77.49,73.98,115.33,124.31,133.56
75.25,73.91,115.27,124.26,117.73
75.29,73.84,115.59,131.04,118.14
75.32,74.03,115.24,141.67,118.04
75.24,74.03,803.08,124.7,118.01
75.34,73.87,115.85,124.4,118.48
75.52,74.02,115.33,131.86,120.72
75.29,74.0,115.26,124.21,117.88
75.14,73.93,117.94,124.16,118.17
77.36,73.97,115.1,124.55,117.91
75.27,75.57,115.58,131.22,117.97
75.14,73.88,115.76,124.24,121.6
75.3,76.18,115.5,142.78,137.31
75.18,73.9,115.38,124.19,119.75
75.55,73.97,115.15,124.08,118.02
75.35,74.12,116.46,124.94,117.76
75.22,73.98,115.42,138.97,118.42
77.32,73.92,130.19,124.55,118.11
75.42,73.94,115.39,124.26,118.13
75.98,74.05,115.88,124.67,118.25
75.3,76.36,115.33,131.62,118.31
75.2,74.04,115.27,124.11,118.39
75.39,73.93,115.76,134.55,117.98
75.25,73.94,136.01,124.99,117.67
77.35,1073.05,118.8,124.37,118.36
75.4,73.96,130.07,125.05,120.47
75.12,74.09,120.07,124.56,118.28
75.3,74.01,115.43,125.17,117.79
75.34,73.9,115.16,124.45,117.7
75.41,73.88,115.72,124.24,118.41
75.16,74.09,115.25,124.27,129.14
77.44,73.83,115.59,124.59,117.86
75.42,74.03,115.4,124.25,133.45
75.19,76.35,115.34,124.22,117.92
75.27,76.33,117.27,129.67,117.83
75.33,73.9,115.3,124.24,134.13
75.7,73.98,115.47,123.95,118.2
77.43,73.99,115.6,124.27,117.83
75.22,76.12,115.21,145.38,117.59
75.42,73.95,124.48,128.88,120.22
78.61,73.94,131.58,124.13,120.09
75.07,73.99,115.3,124.33,117.93
75.24,76.21,805.96,124.38,135.04
75.36,74.01,131.01,131.01,117.98
75.14,73.98,115.37,124.33,117.94
75.43,73.99,115.57,124.19,117.98
75.64,74.1,803.0,124.61,118.32
75.39,73.91,115.08,124.54,119.89
75.12,74.08,119.51,124.79,118.58
75.24,73.89,115.44,124.32,122.39
75.45,73.88,115.15,124.27,118.03
75.55,73.9,115.05,124.83,134.77
75.27,74.06,115.21,124.87,118.07
75.29,73.94,118.21,124.1,117.93
75.31,74.02,130.01,124.31,117.73
75.2,76.34,141.84,124.1,117.94
75.17,73.96,146.03,124.8,118.06
75.29,73.94,120.83,145.02,133.53
75.17,73.94,115.22,147.21,122.99
75.17,76.13,116.33,124.43,118.04
75.32,76.16,115.24,124.29,124.31
75.41,73.98,116.91,128.37,117.87
78.5,74.04,115.59,144.77,118.32
75.43,73.88,115.7,130.13,119.78
75.33,73.95,115.38,125.18,118.21
75.45,73.94,115.18,124.16,117.72
75.33,1073.5,115.41,123.88,122.8
75.11,76.37,119.51,124.8,120.14
75.39,74.03,115.14,124.23,118.25
75.31,73.91,116.71,126.22,117.87
75.34,73.78,140.76,124.39,117.65
75.33,73.87,115.56,124.05,118.28
75.37,73.9,115.23,130.91,117.84
75.3,76.21,115.15,125.0,119.83
75.27,74.2,115.38,124.6,136.52
75.35,73.97,119.01,124.97,118.12
75.27,73.95,115.4,144.59,118.14
75.24,1073.89,115.36,124.15,133.25
79.77,1074.48,115.09,124.42,117.64
75.35,73.98,802.03,124.17,118.82
77.37,74.21,115.52,124.16,123.02
75.25,75.1,115.97,124.42,120.16
75.28,73.85,115.19,124.0,120.24
75.27,74.09,117.83,124.21,120.03
75.38,74.14,130.22,124.47,117.82
75.16,73.89,115.61,124.17,117.98
77.48,74.0,116.68,127.29,118.16
75.31,76.7,117.59,124.54,117.92
77.34,75.53,119.57,124.09,122.65
77.31,73.93,115.14,124.14,117.72
75.66,75.5,115.06,126.77,120.0
75.31,73.95,115.52,124.91,133.78
75.14,74.01,119.59,124.35,124.64
1074.71,75.05,115.79,124.71,124.23
75.39,74.0,115.61,124.32,135.53
75.28,73.99,115.13,129.99,117.94
75.44,74.1,115.5,124.17,118.58
75.29,73.87,115.75,142.19,118.82
75.36,74.05,117.31,124.47,117.9
75.3,73.99,119.86,124.28,118.0
76.54,73.97,130.18,127.01,117.92
75.27,73.97,115.52,124.78,117.98
77.7,74.0,115.29,806.95,117.76
77.29,75.5,115.02,124.5,117.81
75.27,73.88,115.2,142.16,122.91
75.38,74.0,115.59,142.5,118.32
75.25,73.8,115.68,142.44,117.68
75.27,73.99,118.11,124.8,125.89
76.94,74.08,130.32,124.17,136.44
79.04,74.04,115.13,124.54,117.98
77.39,73.95,115.13,133.25,135.97
75.29,73.98,115.95,125.38,118.66
76.76,74.04,115.35,124.0,120.83
76.53,73.89,115.11,143.0,118.17
77.13,73.89,115.91,124.4,117.86
75.11,74.3,115.11,126.35,119.99
75.32,75.63,127.87,124.69,118.36
77.43,73.85,115.26,124.64,117.73
75.15,73.97,115.51,124.05,117.85
75.14,76.24,115.82,127.13,117.73
77.09,73.93,115.28,142.69,119.06
75.25,74.07,119.69,124.58,124.54
77.32,76.21,115.33,126.37,118.26
76.69,74.07,115.04,125.24,118.16
75.52,76.37,117.59,124.36,118.19
75.09,74.08,115.5,130.09,117.99
75.21,76.12,119.18,144.01,128.35
75.79,73.96,115.15,139.77,117.84
75.58,74.0,115.39,124.35,118.35
75.39,75.45,115.23,128.71,117.73
75.4,73.89,116.67,131.86,118.0
75.24,73.96,115.18,124.66,117.98
75.19,73.91,115.56,124.57,118.83
1078.55,75.52,115.32,124.08,118.14
78.57,73.95,115.57,129.62,117.98
75.17,73.92,131.5,124.28,117.79
75.34,73.88,129.93,125.49,118.45
75.25,75.49,115.73,125.09,118.16
76.8,74.08,114.99,124.97,117.72
75.37,73.85,115.06,125.55,118.13
75.2,73.9,115.37,124.13,124.25
3072.83,73.96,802.53,124.33,143.78
75.41,74.04,115.16,124.58,117.89
75.16,73.93,115.12,124.33,133.73
75.3,74.14,115.15,125.87,118.39
78.64,75.49,116.48,125.09,121.48
75.33,74.05,115.52,124.3,117.8
75.3,75.53,115.19,124.94,142.34
75.34,75.42,115.35,126.85,117.87
75.29,73.96,115.1,124.61,128.17
75.48,75.55,115.27,124.58,117.86
78.57,73.88,115.1,124.02,117.72
75.36,73.87,115.32,124.15,117.93
75.15,74.05,121.35,126.71,118.09
75.32,73.93,119.18,124.1,118.18
75.43,73.95,115.57,124.17,118.05
76.73,74.01,115.31,124.58,127.5
75.41,73.89,115.09,130.52,134.13
75.27,73.94,115.79,123.95,118.01
75.37,74.81,115.03,124.27,118.47
75.41,73.97,115.56,124.35,809.95
75.39,73.94,115.32,124.58,118.12
78.95,74.03,132.33,124.42,117.94
75.31,75.41,115.25,124.37,117.91
75.54,75.56,115.09,125.21,120.69
75.1,73.91,115.27,808.37,140.01
77.41,73.94,129.72,125.21,117.87
75.14,75.52,115.65,143.96,118.09
77.15,73.96,115.37,124.21,119.92
75.67,73.84,115.2,124.51,144.59
75.4,73.84,115.61,124.11,140.62
75.33,74.03,116.19,124.08,118.47
75.58,73.9,115.11,124.23,117.93
75.19,73.83,129.82,142.25,117.75
76.93,73.97,115.63,124.45,123.98
75.66,74.16,115.13,807.79,136.75
75.4,73.81,115.13,124.21,118.56
75.27,73.98,115.38,124.99,117.84
75.4,75.69,115.17,124.1,118.17
75.44,73.77,115.31,126.55,117.8
1074.69,73.91,116.17,124.7,117.75
75.37,73.92,116.68,124.1,117.87
79.14,73.99,119.89,124.09,119.29
75.24,73.95,115.63,124.51,117.83
77.66,73.89,115.78,134.55,118.3
77.33,73.92,115.12,123.87,117.85
75.36,73.88,115.44,124.2,133.29
75.4,73.83,115.35,124.08,134.1
75.41,75.42,132.2,130.46,121.36
75.72,1074.06,115.11,124.25,119.11
77.35,74.22,127.4,126.55,118.32
75.22,74.08,115.27,132.17,117.82
75.32,73.91,115.31,131.97,117.99
77.39,73.79,139.4,124.34,126.07
77.51,73.85,115.28,124.73,118.09
75.41,73.97,115.4,124.71,118.57
76.33,75.43,115.2,124.33,117.85
75.35,74.07,115.17,143.07,117.59
75.29,76.2,115.16,138.69,117.92
75.3,73.9,115.2,124.71,137.03
75.35,74.14,115.53,124.18,133.22
75.45,73.83,115.58,146.98,128.3
78.98,74.22,115.28,123.99,123.42
75.49,74.0,115.24,124.31,118.08
77.3,73.94,115.13,142.46,128.75
75.3,73.91,115.34,124.32,133.63
75.3,74.08,119.74,133.01,118.11
75.33,75.48,126.58,124.17,119.88
77.68,74.09,115.31,125.65,118.06
77.63,74.06,115.27,124.29,118.0
75.31,74.0,115.11,124.39,117.73
75.23,74.02,115.2,124.15,118.14
75.41,74.05,115.86,807.31,118.62
75.58,74.01,115.54,124.9,133.19
75.46,74.19,115.13,125.57,117.92
75.52,74.01,115.3,124.04,118.06
75.45,73.95,115.42,124.81,121.14
77.26,76.14,136.24,124.06,117.71
75.27,74.72,129.81,124.27,117.68
77.41,73.94,115.17,126.41,117.6
75.39,73.91,115.32,126.39,118.0
75.35,73.92,126.03,135.87,117.78
75.26,75.05,115.25,138.7,118.08
75.28,73.98,115.21,134.81,117.8
75.42,75.11,115.24,124.56,118.22
75.56,74.08,115.15,124.39,117.98
77.38,74.77,115.78,124.58,117.97
75.27,74.08,802.66,143.21,118.15
76.96,76.85,120.44,130.91,118.77
75.4,74.75,115.53,142.35,120.08
75.29,74.09,119.46,129.5,119.79
75.26,75.46,130.29,136.98,118.21
75.35,74.84,115.39,123.99,119.0
75.33,75.42,803.17,124.84,117.87
75.57,73.81,115.24,124.68,117.8
75.47,74.69,802.73,124.46,118.39
