P-521,hqc256,p521_hqc256
405.22,1911.46,1930.19
405.24,1911.82,1925.61
407.42,1911.6,1743.95
405.56,1914.9,2762.81
405.44,1911.35,1922.3
405.28,2737.55,1923.68
405.19,2678.19,2756.56
405.24,2737.26,1924.2
405.23,2680.92,1922.53
405.71,1911.39,1933.44
405.32,1913.23,2686.17
405.32,2680.31,1923.5
405.37,1914.25,1928.64
405.29,1927.16,3184.88
405.27,1929.63,2698.75
405.21,1912.04,2472.84
405.19,1945.41,2686.68
405.59,3705.86,1931.72
405.33,1911.42,3108.98
405.34,1912.01,1932.86
405.36,1911.73,1746.2
405.33,1911.09,1921.01
405.3,1911.4,1923.5
405.39,1932.06,1922.95
407.45,1911.36,1921.09
405.51,1926.95,3268.58
405.31,1912.23,1926.71
405.25,1732.82,1920.79
405.3,1911.65,1923.01
405.36,3224.62,2695.43
405.4,1732.26,1922.19
405.23,1911.81,1925.82
405.38,1911.21,1926.41
405.31,1911.72,1921.47
405.32,1912.12,1922.52
405.32,1911.0,1922.33
407.36,2761.62,1924.73
405.31,3234.92,1922.67
405.32,1911.54,1921.83
405.3,1911.28,2751.08
405.27,2721.61,1920.43
405.31,1913.9,1921.3
405.39,3161.06,1921.31
405.31,1912.53,1922.78
405.36,1911.74,1922.97
405.32,1911.77,1932.56
405.48,1929.74,1922.46
406.52,1910.39,1922.95
405.38,1911.53,1933.08
405.33,1911.25,1923.34
405.19,2678.34,3234.15
407.42,2471.91,1923.45
405.41,3135.11,2879.06
405.42,1750.49,1923.78
406.97,3705.17,1922.55
405.33,2678.05,1923.9
405.38,1911.46,1924.36
407.26,1911.49,1922.06
405.27,1735.01,1921.5
405.63,1911.31,3677.15
405.38,1911.74,1921.14
405.52,1749.34,1924.14
405.25,5134.51,1921.91
407.38,1742.97,3912.08
405.26,1919.54,1923.85
405.37,2721.55,2763.95
405.4,1911.3,1743.88
405.36,1911.37,1922.92
405.21,2677.68,1922.03
405.35,1911.26,2750.3
405.29,1911.25,1923.29
407.39,1911.91,1933.75
405.39,1732.35,1923.72
405.42,1920.15,1932.51
1404.93,1917.52,1921.64
405.29,1911.71,2685.11
405.33,1911.68,1922.48
405.28,1911.52,1925.84
405.31,1911.6,1921.58
405.38,1910.73,6127.8
405.43,1911.46,1923.07
408.62,1911.39,2870.34
1405.08,1911.63,1921.33
405.39,1911.08,2685.27
405.27,2677.77,1922.4
407.27,1913.41,1923.43
1406.74,1733.02,1921.97
405.24,1911.12,1923.52
407.52,2678.01,1922.36
405.33,1923.92,1924.09
407.3,1911.09,1930.91
407.44,1919.98,1744.82
3402.81,1929.95,1922.13
405.26,1911.1,2696.73
405.38,1911.14,1923.21
405.56,3112.69,1929.43
406.52,1910.96,1923.9
405.27,3178.12,1920.81
1404.78,1911.5,1922.35
405.36,1911.42,1921.93
405.33,1733.25,1923.27
405.29,1911.24,1922.82
405.33,1911.5,1924.47
405.45,1911.42,3716.8
405.61,3195.78,1921.02
405.37,1914.08,1928.51
405.46,1911.95,1922.39
405.26,1911.47,1921.67
405.35,1912.0,3319.51
405.24,1911.86,1933.83
1406.55,2858.12,1922.6
405.35,1914.51,1937.64
405.63,2465.78,2687.56
1404.83,3563.27,1933.35
406.6,1915.87,2869.35
405.4,1912.19,1925.11
407.78,1911.71,1921.16
1406.5,1912.67,1747.54
405.34,1911.5,1921.31
405.37,2610.72,1923.49
405.26,1930.12,1922.41
405.5,1911.82,1932.07
407.33,1911.76,1922.15
405.47,1911.57,1924.74
405.28,1911.77,1921.89
405.45,1921.97,1921.35
405.34,1911.7,1746.4
405.38,1926.4,1922.43
405.2,1911.48,1923.44
408.68,1911.77,1921.62
1404.64,1911.45,1921.93
407.37,1911.28,1947.99
405.25,1911.85,1744.34
1404.77,1911.35,5009.01
405.25,1911.72,1922.42
405.34,1910.94,1922.23
405.26,1911.75,1922.73
405.49,2762.97,1922.51
3403.78,1911.16,1921.6
407.36,4576.12,1933.89
405.18,2754.28,1744.41
405.34,2737.92,3979.22
407.4,1733.04,1932.24
405.51,1920.11,1925.41
405.36,1929.89,1921.64
407.38,1929.95,1746.33
407.45,1911.51,1920.97
405.34,1919.77,2763.86
405.31,2686.55,1932.22
3403.64,1911.7,1922.01
405.29,1910.98,1922.31
405.32,2920.72,1924.2
405.3,1732.65,1922.88
405.36,1912.88,1923.44
405.28,1911.74,1923.98
405.32,1911.09,2939.86
407.47,1911.26,1921.5
405.19,2678.22,3949.06
405.42,2754.82,1932.12
407.4,1911.41,1742.92
405.3,3093.41,1921.86
405.25,1911.61,1922.0
405.45,2762.1,1924.22
405.4,1929.9,1931.84
405.41,1911.38,1923.12
405.26,3224.62,1922.39
405.27,1911.44,1925.69
405.62,2677.7,2868.81
405.19,2677.78,1920.77
407.42,1732.62,4087.71
407.36,1911.05,1745.7
405.24,1912.66,1921.76
405.23,3191.77,1921.28
405.21,2677.24,1746.56
405.15,1920.61,1923.47
405.36,1911.11,1922.84
405.33,2721.28,1925.0
405.27,2678.28,2869.45
405.25,1911.3,1921.14
3404.17,1911.81,1922.72
405.29,1911.18,1935.41
405.31,1911.59,1923.05
405.4,2677.87,1921.38
405.28,1941.84,2707.07
1406.7,4232.22,2688.74
407.46,1911.51,1921.53
406.77,1911.45,1743.43
405.3,1911.17,1923.45
405.43,1912.37,2763.6
407.39,1911.08,2686.01
405.29,1911.1,1921.26
405.29,1910.99,1923.38
405.29,1911.51,1742.88
405.41,1913.21,1925.17
407.32,1910.76,1924.78
407.46,2865.88,1922.51
405.3,1926.12,1924.68
405.43,1911.54,1921.59
407.48,2677.78,2878.11
405.36,1911.48,1934.71
405.38,3965.98,2685.19
405.22,1911.43,1746.16
405.17,1911.05,1922.7
405.24,1911.24,2869.62
405.27,1911.15,1921.58
406.65,1911.43,1922.42
405.23,1911.65,1924.0
407.37,2857.35,1923.27
405.39,1911.29,3170.93
405.38,3932.3,1922.08
405.29,1919.97,1922.67
405.61,1911.13,1931.52
405.33,2858.08,1922.94
405.41,1911.48,1922.52
405.35,2512.16,1922.32
407.36,1911.16,2687.65
407.42,2857.44,2686.19
405.31,1911.63,1932.58
405.71,3160.75,2688.73
405.27,1732.92,1743.08
408.62,1911.23,1921.41
405.16,2857.03,2870.16
405.74,2738.67,2686.49
405.34,1911.43,1744.83
1405.25,3521.13,1922.92
408.64,1911.16,1921.45
408.65,1912.01,1922.06
405.28,3750.51,1922.66
405.37,2684.97,1954.6
405.16,2857.78,1946.05
406.03,1911.4,2525.02
407.52,1911.58,1922.3
405.45,1912.1,1922.39
405.3,1732.47,3757.25
405.22,1911.82,1921.35
407.35,1929.87,1936.17
405.26,2758.2,2697.84
405.15,1911.0,1923.11
405.26,1911.47,1928.03
405.13,1911.57,1922.33
406.21,1911.27,1933.15
1404.37,1911.57,1745.12
1404.63,1929.6,3986.03
405.41,2745.63,2762.22
1404.84,1739.93,2685.13
405.4,1919.91,1921.61
405.23,1911.03,1936.65
405.47,1920.39,1922.3
1404.81,1921.72,1921.73
405.18,1916.05,1921.63
405.28,1911.63,1936.52
405.99,3222.63,1921.74
3402.72,1916.82,1922.08
405.32,1925.84,1925.39
405.31,1928.33,1923.86
405.34,1969.8,1922.06
405.45,2759.38,1922.32
405.28,1911.84,2686.9
1404.69,1911.41,1923.13
405.36,2677.81,2688.75
405.4,2778.67,1922.72
405.37,1942.16,1932.32
407.35,1933.37,1922.0
407.39,1914.4,1922.93
