P-521,hqc256,p521_hqc256
5.27,81.88,90.98
5.24,108.99,90.73
5.52,115.14,91.13
4.96,83.43,91.4
6.67,83.1,95.54
5.0,81.39,91.31
6.67,81.4,92.15
4.98,82.82,91.52
4.95,105.69,90.87
4.95,83.34,102.66
4.97,83.58,90.81
5.0,82.85,104.8
5.13,83.34,101.77
5.0,82.18,92.69
4.96,81.95,91.04
5.56,87.0,92.28
5.0,84.43,92.1
5.77,82.7,100.54
4.99,81.7,97.89
5.72,81.79,90.55
5.06,82.26,92.18
7.17,82.96,91.35
7.43,82.83,93.53
4.96,81.93,101.48
7.36,81.16,103.25
7.48,81.01,96.93
4.95,96.93,90.67
5.72,84.3,90.67
4.98,82.48,91.71
5.11,82.11,102.53
7.07,83.93,104.44
4.96,82.62,91.67
5.56,82.39,92.27
4.95,82.02,104.42
7.38,100.14,90.0
5.01,80.84,91.89
4.96,82.44,91.41
5.24,83.02,91.53
4.94,83.11,92.14
5.89,83.43,90.89
6.33,83.13,90.88
6.62,82.9,92.04
5.61,82.43,92.9
5.01,81.13,90.37
6.98,81.54,92.27
7.55,88.46,91.53
4.96,81.86,93.1
4.99,81.85,92.79
5.19,82.68,91.87
4.99,93.22,101.75
5.16,85.64,91.28
7.0,82.98,91.42
5.64,82.52,90.02
5.08,82.21,98.36
5.21,81.63,105.92
7.45,83.4,102.7
4.95,84.41,99.4
6.93,83.29,91.99
5.65,90.91,93.0
4.91,98.89,91.76
5.55,82.46,90.87
4.97,100.52,94.16
4.93,91.61,102.59
5.05,81.36,91.25
4.92,82.31,91.59
5.66,84.7,93.05
5.01,93.18,92.86
5.72,82.46,91.08
4.99,90.49,91.58
4.98,82.77,90.15
5.62,82.81,89.91
4.96,82.01,91.47
5.75,80.79,91.48
5.02,82.54,91.1
4.95,95.33,92.14
5.8,89.84,91.94
7.03,83.23,103.28
5.14,91.26,91.28
5.0,108.68,90.09
5.03,81.94,91.19
4.93,82.44,102.14
7.01,81.25,91.75
5.51,81.76,90.61
4.93,82.45,92.61
5.44,83.93,91.0
4.97,82.63,105.28
5.57,102.37,90.35
7.06,83.2,90.02
6.96,82.53,92.36
5.56,82.15,91.84
4.86,84.27,93.42
5.14,81.87,98.09
5.8,83.79,106.75
4.96,83.8,102.87
7.14,83.46,99.35
6.63,87.42,90.21
4.92,81.98,90.06
5.14,82.07,103.85
4.92,85.05,91.86
7.68,103.95,91.67
4.96,82.05,91.59
5.27,82.17,92.19
6.99,104.41,93.33
5.61,85.67,92.47
6.24,83.0,90.13
7.36,94.46,91.15
5.2,82.27,90.77
4.95,82.94,90.87
7.11,105.96,91.64
5.79,81.5,92.92
4.92,81.99,102.0
7.54,82.85,91.56
4.98,82.89,91.58
6.2,82.3,90.07
6.76,106.12,92.04
4.96,83.14,105.21
5.27,116.52,91.59
6.75,82.9,92.01
4.93,81.35,114.25
5.46,101.28,90.94
6.23,82.8,91.68
6.16,83.63,90.44
6.76,81.86,90.45
4.97,82.37,90.74
7.34,82.4,101.06
6.25,82.14,91.63
4.98,84.8,92.51
6.89,81.27,92.64
6.19,81.42,92.13
5.12,82.03,104.17
6.27,90.26,101.69
4.98,83.03,90.41
5.17,82.31,91.06
6.98,82.31,91.72
5.82,82.71,90.55
4.92,82.61,92.24
6.4,84.42,90.23
5.0,81.32,92.32
4.93,80.94,90.65
7.54,82.81,90.09
4.93,82.2,90.23
5.5,82.57,91.53
4.92,82.99,92.0
6.79,83.15,92.99
4.92,87.87,91.93
4.94,83.31,91.41
7.15,81.92,92.05
4.96,81.09,91.57
5.81,81.37,90.78
4.96,91.77,90.72
5.25,82.75,91.88
7.7,82.07,91.17
6.22,95.05,91.44
6.46,83.14,90.89
5.07,82.39,102.6
6.27,89.11,92.67
5.39,81.09,90.36
6.21,81.24,101.33
6.7,96.47,90.91
4.96,82.33,93.38
5.07,85.47,94.29
7.28,90.89,92.35
4.9,101.33,91.44
5.17,100.85,91.27
4.94,82.32,93.54
6.73,81.23,92.61
5.31,86.44,89.91
6.78,83.01,92.08
5.0,82.02,92.47
5.35,84.18,92.44
6.31,82.05,92.23
6.3,82.74,98.62
5.89,82.55,91.02
6.18,82.26,91.49
5.14,81.91,90.46
4.99,80.89,105.63
6.99,95.29,92.07
5.59,83.16,103.23
4.96,82.92,102.08
5.47,82.34,90.71
6.23,81.95,110.29
6.89,85.13,116.39
6.98,90.27,111.86
6.21,81.75,90.31
6.19,81.81,91.19
5.29,81.46,92.09
4.87,82.17,102.53
6.18,82.5,93.82
4.96,82.23,91.84
7.51,82.44,91.78
4.98,99.87,91.64
4.94,83.17,90.89
5.05,81.71,90.66
4.97,82.1,103.57
5.44,81.74,94.12
4.9,81.31,94.34
5.33,82.55,90.64
5.06,87.93,102.65
5.56,82.02,91.23
6.22,83.65,93.71
6.6,83.22,105.43
7.44,83.6,102.02
7.05,84.45,93.43
6.99,81.1,90.92
5.68,81.64,90.95
4.87,82.19,92.02
5.5,81.88,91.15
4.98,82.04,91.64
6.77,83.28,90.02
5.63,88.74,90.89
4.9,83.19,101.79
5.55,84.12,90.75
5.11,93.93,91.77
5.56,81.75,92.89
6.22,102.67,91.89
4.94,111.36,91.27
5.3,96.43,102.13
5.0,84.16,90.14
5.6,89.35,91.47
6.23,83.83,91.72
5.0,83.31,92.06
7.24,81.26,91.46
7.1,81.36,91.97
6.18,111.02,94.19
5.53,84.93,107.81
4.87,82.71,90.31
5.51,84.34,90.43
5.03,93.51,102.68
5.26,83.49,92.18
6.99,84.99,98.71
4.94,88.02,91.4
5.42,81.41,90.62
5.05,85.58,110.23
5.69,88.56,92.32
4.97,83.07,91.55
