P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
402.23,401.78,415.94,422.71,429.1
402.56,401.85,415.86,422.82,417.4
402.2,401.82,415.81,422.78,417.37
402.07,401.92,415.88,422.7,419.76
402.21,402.33,415.87,422.8,417.36
402.53,401.81,415.96,422.71,417.33
402.4,401.92,415.94,422.64,417.41
402.42,401.91,415.82,433.43,417.4
402.19,401.98,415.81,422.6,417.38
402.07,401.94,415.87,422.68,417.3
1401.74,401.75,415.88,424.8,417.33
402.49,402.06,415.92,433.48,417.25
402.09,401.83,415.99,422.73,417.26
402.12,401.94,426.89,2842.07,417.4
402.08,401.94,415.87,422.66,417.68
402.6,401.75,416.35,422.83,424.5
402.22,401.85,426.92,422.62,417.41
402.51,401.88,426.94,422.67,429.1
402.52,401.88,415.86,422.78,417.48
402.1,401.82,415.96,422.84,417.62
402.09,401.98,415.88,422.8,2837.33
1401.59,401.87,415.93,422.72,424.59
402.13,401.82,422.31,427.69,417.36
402.25,401.91,417.34,422.77,417.36
402.29,401.89,415.87,422.74,417.41
402.55,401.96,415.98,423.37,417.35
402.19,401.78,2836.43,2842.07,417.36
402.0,401.81,422.43,438.65,417.42
402.13,401.89,415.86,422.64,417.43
402.13,401.97,426.86,422.71,417.38
402.13,401.79,415.88,422.64,417.39
402.72,402.05,415.89,438.82,422.0
402.17,401.83,415.9,422.83,424.59
402.21,401.86,426.81,427.23,417.73
402.12,401.88,415.92,422.65,424.56
1401.57,401.8,2836.27,422.7,424.59
402.04,401.79,415.75,440.29,417.31
402.11,401.98,415.94,438.83,421.91
402.11,401.89,415.99,2841.55,417.32
402.14,401.89,416.02,422.53,417.38
402.14,401.99,415.85,422.86,417.51
402.19,401.93,415.79,422.7,422.0
402.5,401.91,415.78,422.76,421.87
402.61,401.9,420.43,422.62,417.29
402.35,402.35,415.92,422.63,417.26
402.57,401.84,415.96,422.77,2837.16
402.16,401.85,422.31,438.51,417.4
402.13,402.17,416.06,423.41,417.28
402.62,401.84,415.99,422.63,417.23
403.14,401.89,415.82,438.67,417.31
402.73,401.77,415.92,423.37,423.7
402.06,401.83,419.91,422.63,417.36
402.46,401.75,415.81,433.5,417.31
402.23,401.95,422.39,422.64,419.35
402.07,1401.62,415.86,423.28,417.32
402.04,401.83,416.25,423.09,424.57
402.2,401.87,415.94,422.77,417.38
402.63,401.8,422.42,422.6,417.22
402.08,401.96,415.88,423.17,421.83
402.22,401.85,416.02,2842.38,424.53
402.18,402.54,426.82,438.74,421.88
402.22,401.85,415.89,422.6,417.33
402.06,402.45,2836.38,422.57,417.35
402.16,401.82,416.0,423.7,417.18
402.73,402.05,415.94,438.84,417.42
402.21,401.81,415.86,423.5,2837.94
402.8,401.95,2838.15,422.67,417.21
402.19,401.79,415.93,422.55,417.23
402.25,401.89,422.38,422.79,421.95
402.29,401.91,415.94,2841.75,417.34
402.16,401.88,416.0,422.61,424.52
402.31,401.86,415.91,422.68,417.57
402.03,401.87,415.92,422.68,417.29
402.01,401.84,415.86,422.66,417.35
402.15,401.97,426.8,422.81,424.56
402.15,401.94,415.99,422.76,417.24
402.68,401.9,422.47,422.51,417.37
402.14,401.82,417.34,423.6,417.31
402.03,402.43,422.43,422.63,417.17
402.54,401.87,3528.63,422.65,421.93
402.07,401.93,422.54,422.61,417.33
402.11,402.1,415.78,422.66,424.57
402.22,401.82,416.03,422.69,417.28
402.59,401.97,2838.03,422.75,417.34
402.2,402.44,415.92,422.59,417.28
402.13,401.76,415.99,422.69,417.35
402.2,401.94,415.91,422.63,417.28
1401.7,402.37,415.97,422.7,417.39
402.02,1401.7,415.86,2841.57,424.62
402.03,401.83,422.34,422.78,417.28
402.04,401.89,415.95,433.39,417.32
402.13,401.99,416.06,433.44,417.35
402.17,401.88,416.0,422.65,418.15
401.99,401.96,415.92,422.74,417.39
402.63,401.81,416.04,2841.66,417.31
402.1,401.93,416.05,422.6,424.55
402.19,401.81,415.88,422.72,417.26
401.99,1401.2,415.93,422.77,417.37
402.07,1401.57,416.28,422.69,417.43
402.22,402.16,416.17,422.76,417.44
402.17,1401.37,422.37,422.71,417.36
402.12,402.48,415.97,422.83,417.41
402.08,401.89,416.07,422.62,417.45
402.22,401.98,415.92,423.37,417.59
402.03,402.19,416.05,422.66,417.2
402.1,1401.45,416.2,427.98,417.43
402.15,401.94,415.76,422.64,417.26
402.14,402.01,415.98,422.8,417.33
402.17,402.08,422.46,423.13,417.4
402.15,402.18,415.87,422.72,417.36
402.0,401.96,415.96,422.63,424.59
402.61,401.96,415.96,2841.51,417.39
402.15,402.21,422.46,422.72,424.44
402.12,401.88,2837.24,422.7,424.62
402.32,402.07,422.42,422.67,417.41
402.19,401.88,422.5,422.61,424.64
402.11,402.51,415.86,422.71,417.3
402.11,401.94,415.96,438.65,417.83
402.3,401.83,416.0,422.67,417.2
402.16,401.99,415.92,423.15,417.35
402.2,402.39,415.95,422.65,424.54
402.38,401.86,416.14,422.77,2837.32
402.04,401.94,415.95,422.71,417.38
402.26,401.91,415.77,422.73,418.01
402.23,402.05,415.94,422.6,417.47
402.02,401.9,416.0,422.61,417.42
402.25,401.93,416.0,422.64,424.48
402.24,402.26,422.51,422.54,417.36
402.65,402.41,422.45,422.62,418.27
402.17,402.4,415.93,423.01,422.5
402.28,401.86,416.37,422.68,417.6
402.47,402.3,415.88,422.66,417.28
402.11,401.83,2835.68,423.04,417.59
402.15,401.8,422.45,422.76,424.55
402.2,401.9,422.55,422.77,417.34
402.51,401.96,416.03,422.64,422.47
402.14,401.92,415.93,422.78,417.44
402.18,401.81,415.92,428.88,417.44
1402.13,401.83,415.9,422.77,417.39
402.15,401.83,415.88,422.74,417.35
402.19,402.06,422.54,422.63,417.51
401.94,402.0,422.42,433.55,417.32
402.18,402.03,422.34,422.71,417.34
402.33,1401.58,422.38,422.64,417.84
402.15,401.78,2835.79,438.79,417.45
402.28,401.99,415.93,422.64,417.36
402.12,401.97,416.04,422.69,424.51
402.62,402.31,415.81,422.67,417.38
402.09,402.29,415.99,422.65,417.18
402.06,401.86,417.83,422.79,417.36
1401.69,402.36,415.91,423.5,417.43
402.16,402.4,422.42,422.74,424.53
402.11,402.02,415.85,424.21,2839.47
402.1,402.33,415.91,422.65,417.43
402.15,401.84,415.95,438.85,417.51
402.19,401.86,415.81,422.6,417.23
402.3,402.09,422.45,422.63,417.68
402.67,402.19,415.77,438.75,417.24
402.23,402.25,422.43,422.69,417.38
402.13,401.89,422.49,422.88,417.58
402.28,401.78,416.03,422.61,417.44
402.04,401.95,415.93,423.92,424.51
402.03,401.82,415.9,422.65,424.58
402.05,402.03,416.03,422.61,417.33
402.61,402.0,415.98,422.59,417.32
402.13,401.98,422.48,427.9,424.71
402.13,401.8,415.89,428.02,2837.04
402.08,402.02,415.74,438.52,2837.89
402.21,402.01,422.4,422.56,417.26
402.27,401.84,415.84,2841.62,417.4
402.59,401.96,422.51,422.76,422.23
402.65,402.51,415.84,422.78,417.29
402.06,402.07,415.89,422.63,417.46
402.2,401.78,422.4,432.7,417.36
402.13,401.82,415.97,422.54,419.74
402.12,401.92,415.84,422.63,417.35
402.72,402.58,415.91,422.59,417.35
402.05,402.02,415.92,438.65,417.36
402.17,401.81,415.95,438.74,421.96
3400.78,401.8,415.87,438.83,417.37
402.24,401.83,415.99,422.71,417.66
402.18,401.88,415.78,422.49,417.49
402.22,401.83,415.82,422.75,417.45
402.15,401.9,415.91,426.81,424.57
402.59,401.87,415.89,422.59,422.37
402.16,401.93,415.86,438.76,417.28
402.18,403.48,416.28,422.61,417.43
402.27,401.94,415.8,422.63,421.98
1402.11,402.02,416.02,422.79,424.52
402.0,401.89,415.86,422.76,424.54
402.61,402.06,422.38,422.87,417.99
402.25,401.84,422.41,422.74,422.5
1401.72,401.86,415.8,438.75,417.29
402.7,402.37,415.99,422.73,417.33
402.19,401.96,416.1,422.62,417.34
402.15,402.54,422.47,438.64,417.15
402.64,401.84,415.79,422.68,417.43
402.55,401.83,415.89,422.67,417.32
402.07,401.83,415.85,422.6,417.37
402.65,402.34,415.93,2842.28,417.39
402.23,402.17,415.81,422.81,421.87
402.16,402.02,415.9,422.72,417.24
