P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
72.12,71.86,86.06,102.65,87.53
72.12,72.7,90.47,102.61,92.03
72.06,72.0,87.82,92.88,87.36
72.16,72.12,86.05,98.01,87.77
72.06,72.08,86.09,96.46,94.3
72.0,72.08,92.67,94.71,87.99
72.02,72.04,87.08,93.69,87.42
72.24,72.68,87.72,94.76,87.59
72.07,71.98,85.94,93.51,87.27
72.1,71.94,86.22,96.37,87.26
72.06,72.61,87.08,94.05,87.44
72.19,71.91,86.11,98.04,99.11
72.83,71.95,86.22,93.38,99.24
73.11,72.74,85.92,93.17,90.02
72.11,71.93,86.71,92.71,87.41
72.11,72.02,86.56,92.97,87.34
72.11,72.48,92.77,92.67,87.34
72.14,72.04,86.07,103.42,87.43
72.23,1071.49,86.24,92.89,87.3
72.18,72.06,86.03,98.04,97.69
72.07,71.98,86.15,92.98,87.7
72.65,72.53,88.31,93.35,87.89
72.23,72.98,86.25,92.68,87.6
72.83,72.11,86.03,98.58,87.37
72.18,72.79,95.85,92.65,87.41
72.83,72.44,85.87,92.96,87.43
72.13,1071.02,86.15,103.47,89.5
72.81,72.0,86.24,93.38,87.67
72.06,71.98,86.06,92.75,87.4
72.11,72.69,85.99,93.3,87.25
72.03,72.02,86.12,92.64,87.38
72.36,71.95,88.16,93.71,99.1
72.1,72.21,86.03,92.62,87.53
72.16,72.02,86.03,92.81,87.39
72.04,72.07,86.09,93.25,87.48
72.54,72.0,86.39,92.83,87.25
72.0,72.01,85.92,94.86,89.44
72.08,71.92,85.97,93.46,89.43
72.01,71.96,85.9,92.64,87.57
72.11,72.06,87.42,92.95,89.28
72.53,71.95,86.18,92.76,87.36
72.47,71.92,86.33,92.72,87.25
72.34,72.42,86.2,93.86,99.27
71.95,72.14,87.42,93.69,89.69
72.0,73.22,86.47,98.44,87.53
72.0,71.97,90.84,92.67,87.39
72.08,71.97,97.24,98.04,87.49
72.67,71.97,86.17,92.76,87.45
72.51,71.87,88.38,93.28,87.31
72.1,72.04,86.57,93.14,87.46
72.35,72.01,86.16,92.64,87.68
72.07,71.92,86.5,93.07,87.31
72.25,72.23,87.31,103.46,87.48
72.6,71.97,97.09,92.69,87.37
71.98,72.14,86.55,93.07,99.31
72.51,71.95,88.08,92.95,87.44
72.22,71.98,88.08,93.11,87.39
71.99,72.62,86.3,92.69,87.41
72.34,72.11,86.03,92.69,99.15
72.08,72.82,88.63,92.68,99.12
71.98,71.96,85.9,92.84,89.59
72.0,72.02,86.12,92.72,87.39
72.04,72.23,85.91,92.65,87.4
72.22,71.9,87.24,93.25,87.5
72.56,71.92,86.08,103.67,87.68
72.15,71.96,85.96,92.75,87.52
72.08,71.99,85.96,92.74,87.46
72.72,72.01,89.5,92.63,87.47
72.12,72.27,85.99,92.91,87.58
72.07,72.46,86.36,93.75,87.45
71.95,72.12,86.08,93.04,87.42
72.25,72.01,88.58,93.08,87.46
72.1,72.06,86.16,98.19,87.41
72.08,72.47,87.72,98.08,94.9
72.66,72.0,86.27,92.63,87.33
72.54,72.32,86.61,94.41,89.42
72.07,71.89,86.09,92.63,92.95
72.09,72.3,86.74,94.79,87.64
72.19,72.33,87.25,92.81,87.31
72.19,72.03,86.6,92.64,87.44
72.55,72.01,86.08,92.71,87.57
72.6,72.04,92.49,95.75,87.35
72.07,71.8,93.26,95.74,99.13
72.12,72.31,86.22,94.72,87.52
72.1,72.47,86.44,93.39,87.23
72.28,72.16,87.28,93.63,87.3
72.17,71.88,92.5,94.48,87.37
72.55,1071.53,90.56,93.56,88.56
72.08,72.67,96.75,97.61,99.49
72.19,71.96,90.61,93.95,87.23
72.08,71.95,86.01,93.27,87.39
72.16,72.42,87.06,93.4,87.27
72.53,71.83,86.04,96.24,87.27
72.17,71.91,88.75,93.37,87.37
72.06,72.6,91.04,92.89,97.03
72.09,72.0,96.99,93.11,99.34
72.26,71.97,91.98,93.69,87.53
72.51,71.97,86.25,96.18,87.82
72.08,72.63,92.63,93.0,88.39
72.07,72.04,86.52,93.47,727.86
72.3,72.03,86.32,96.27,87.56
72.12,72.68,86.06,93.44,87.26
72.09,71.93,86.04,92.58,87.54
72.45,71.96,86.5,92.72,89.57
72.17,71.95,86.58,93.01,87.59
71.98,72.54,726.07,103.47,87.27
72.64,72.66,86.56,92.79,87.45
72.05,1072.04,86.08,92.52,87.44
