P-521,hqc256,p521_hqc256
805.64,2321.92,2335.03
405.27,1911.44,1920.54
405.51,1911.2,1920.22
405.36,1911.3,1920.17
405.23,1935.06,1931.07
405.37,1922.09,1920.75
405.36,1911.28,1931.63
405.26,2857.68,1920.06
405.23,2677.7,1919.84
405.14,1940.64,1919.86
407.3,1911.46,1919.75
405.12,1911.45,1919.96
405.24,1911.35,1920.34
405.2,1922.49,1931.36
405.16,1940.08,1922.57
405.17,1930.08,1742.95
405.08,1911.28,1919.74
405.15,2857.41,1920.13
405.09,1911.07,2685.05
405.03,1921.72,1920.07
405.28,1929.57,1930.22
405.18,1910.76,1920.05
405.15,1911.04,1919.95
405.2,2680.07,1920.12
405.39,1732.63,1924.03
405.09,1913.05,1741.12
405.2,1921.81,1920.34
405.31,2679.67,1919.62
405.17,1929.75,1930.87
405.13,1930.32,3147.14
405.12,1911.65,1932.15
405.09,1910.49,2747.3
405.15,1911.31,1930.46
1406.74,1911.1,1931.75
405.14,1911.08,1742.37
405.18,1911.64,1927.36
405.07,1911.12,1930.48
405.03,1911.58,1931.43
405.11,1912.97,1920.23
407.23,1911.87,1919.88
405.14,1926.42,1920.3
405.06,1921.54,1920.66
405.24,1910.82,1919.92
405.24,1911.87,1920.13
404.96,1912.22,1920.17
407.15,1930.07,1952.54
405.07,1911.04,1920.09
406.52,1911.62,1930.89
407.23,1911.23,2866.18
405.19,1911.11,1926.38
408.53,1911.46,2867.46
405.06,1911.0,1920.54
408.47,2856.4,1922.68
405.11,1911.49,2685.45
408.53,1911.34,1919.9
408.46,1911.47,1743.39
405.06,1914.01,1930.86
405.24,1751.16,2877.87
405.07,1911.33,1920.17
405.08,1929.78,1919.82
405.1,1911.03,1919.87
405.83,2857.38,1920.35
405.18,1911.19,1930.87
407.17,1911.26,1919.83
405.63,1910.79,1930.36
405.17,1931.09,1920.1
1404.6,1913.4,1921.5
405.17,1911.03,1920.42
405.27,1910.99,1930.32
405.19,1911.52,1930.7
405.18,1911.07,1931.3
405.19,1911.09,1920.54
405.16,1911.29,1922.08
405.17,1732.67,1924.42
405.15,1910.88,1920.12
405.1,2677.91,1925.19
1406.86,1910.89,1920.1
405.14,1929.67,1920.03
405.17,1926.01,1919.97
405.18,1910.96,1922.28
407.15,1910.74,1922.5
405.1,1911.02,1920.0
407.2,2677.98,1924.01
405.12,1911.21,1921.38
1404.3,1930.39,1920.23
405.31,1911.44,1919.93
405.14,1930.12,1926.8
407.28,1911.46,1920.66
405.14,1913.12,1919.97
405.18,1911.32,1919.9
