timestamp,protocol,auth_mode,sig_alg,kem,network_profile,role,n_runs,cpu_usec_total,cpu_usec_per_handshake,mem_peak_bytes
2026-08-05T18:27:55+01:00,tls,single,ed25519,P-256,simple,server,500,1558799,3117.598,7036928
2026-08-05T18:27:55+01:00,tls,single,ed25519,P-256,simple,client,500,21721043,43442.086,5578752
2026-08-05T18:30:48+01:00,tls,single,ed25519,x25519,simple,server,500,1436894,2873.788,6754304
2026-08-05T18:30:48+01:00,tls,single,ed25519,x25519,simple,client,500,21352960,42705.920,5660672
2026-08-05T18:33:53+01:00,tls,single,ed25519,p256_mlkem512,simple,server,500,3422566,6845.132,6754304
2026-08-05T18:33:53+01:00,tls,single,ed25519,p256_mlkem512,simple,client,500,30445348,60890.696,5787648
2026-08-05T18:36:48+01:00,tls,single,ed25519,x25519_mlkem512,simple,server,500,1694164,3388.328,6455296
2026-08-05T18:36:48+01:00,tls,single,ed25519,x25519_mlkem512,simple,client,500,21528254,43056.508,5668864
2026-08-05T18:39:42+01:00,tls,single,ed25519,mlkem512,simple,server,500,1371157,2742.314,6434816
2026-08-05T18:39:42+01:00,tls,single,ed25519,mlkem512,simple,client,500,21148491,42296.982,5754880
2026-08-05T18:57:31+01:00,tls,single,ed25519,hqc128,simple,server,500,14478195,28956.390,6754304
2026-08-05T18:57:31+01:00,tls,single,ed25519,hqc128,simple,client,500,40207110,80414.220,5431296
2026-08-05T19:01:10+01:00,tls,single,ed25519,p256_hqc128,simple,server,500,16327147,32654.294,7053312
2026-08-05T19:01:10+01:00,tls,single,ed25519,p256_hqc128,simple,client,500,49015328,98030.656,5681152
2026-08-05T19:04:35+01:00,tls,single,ed25519,x25519_hqc128,simple,server,500,14709974,29419.948,6840320
2026-08-05T19:04:35+01:00,tls,single,ed25519,x25519_hqc128,simple,client,500,40195531,80391.062,5640192
2026-08-05T19:07:38+01:00,tls,single,secp384r1,P-384,simple,server,500,3170815,6341.630,6721536
2026-08-05T19:07:38+01:00,tls,single,secp384r1,P-384,simple,client,500,24807001,49614.002,5791744
