Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	04/06/2026 	_x86_64_	(8 CPU)

02:23:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:24:29     all   21,04    0,00    5,07   10,27    0,00    0,00    0,00    0,00    0,00   63,62
02:24:30     all   18,07    0,00    3,64   10,79    0,00    0,13    0,00    0,00    0,00   67,38
02:24:31     all   23,74    0,25    6,28   10,30    0,00    0,00    0,00    0,00    0,00   59,42
02:24:32     all   18,77    0,13    3,65   10,33    0,00    0,00    0,00    0,00    0,00   67,13
02:24:33     all   22,32    0,00    5,67   10,09    0,00    0,00    0,00    0,00    0,00   61,92
02:24:34     all   18,47    0,00    3,39   17,59    0,00    0,00    0,00    0,00    0,00   60,55
02:24:35     all   23,43    0,00    5,29    8,06    0,00    0,00    0,00    0,00    0,00   63,22
02:24:36     all   18,72    0,00    4,02   29,77    0,00    0,38    0,00    0,00    0,00   47,11
02:24:37     all   19,29    0,00    3,91    8,83    0,00    0,00    0,00    0,00    0,00   67,97
02:24:38     all   21,83    0,13    4,89   10,04    0,00    0,00    0,00    0,00    0,00   63,11
02:24:39     all   19,92    0,00    3,40   24,59    0,00    0,13    0,00    0,00    0,00   51,95
02:24:40     all   19,32    0,13    3,89   16,56    0,00    0,13    0,00    0,00    0,00   59,97
02:24:41     all   24,31    0,25    6,68   11,96    0,00    0,13    0,00    0,00    0,00   56,68
02:24:42     all   18,96    0,00    3,16   16,43    0,00    0,00    0,00    0,00    0,00   61,44
02:24:43     all   22,35    0,00    5,43   12,88    0,00    0,00    0,00    0,00    0,00   59,34
02:24:44     all   19,70    0,00    4,14   17,82    0,00    0,13    0,00    0,00    0,00   58,22
02:24:45     all   18,62    0,00    4,03   12,70    0,00    0,13    0,00    0,00    0,00   64,53
02:24:46     all   20,38    0,00    4,78    9,81    0,00    0,00    0,00    0,00    0,00   65,03
02:24:47     all   21,82    0,00    4,41   15,38    0,00    0,13    0,00    0,00    0,00   58,26
02:24:48     all   18,69    0,00    4,04   13,89    0,00    0,00    0,00    0,00    0,00   63,38
02:24:49     all   20,93    0,13    5,55    8,83    0,00    0,13    0,00    0,00    0,00   64,44
02:24:50     all   18,55    0,13    4,01   20,93    0,00    0,00    0,00    0,00    0,00   56,39
02:24:51     all   20,65    0,00    5,16    9,45    0,00    0,00    0,00    0,00    0,00   64,74
02:24:52     all   23,26    0,00    4,93   14,03    0,00    0,13    0,00    0,00    0,00   57,65
02:24:53     all   18,79    0,13    4,29   17,91    0,00    0,00    0,00    0,00    0,00   58,89
02:24:54     all   20,15    0,13    5,29   12,34    0,00    0,00    0,00    0,00    0,00   62,09
02:24:55     all   19,77    0,00    4,28   16,12    0,00    0,00    0,00    0,00    0,00   59,82
02:24:56     all   20,28    0,13    4,18   14,45    0,00    0,00    0,00    0,00    0,00   60,96
02:24:57     all   19,75    0,00    4,15    9,56    0,00    0,13    0,00    0,00    0,00   66,42
02:24:58     all   20,43    0,00    6,18   13,11    0,00    0,00    0,00    0,00    0,00   60,28
02:24:59     all   18,69    0,13    3,79   11,11    0,00    0,00    0,00    0,00    0,00   66,29
02:25:00     all   20,90    0,00    5,13    8,76    0,00    0,25    0,00    0,00    0,00   64,96
02:25:01     all   18,96    0,25    3,41   27,05    0,00    0,00    0,00    0,00    0,00   50,32
02:25:02     all   22,15    0,00    4,26   10,26    0,00    0,25    0,00    0,00    0,00   63,08
02:25:03     all   21,64    0,00    5,79   11,45    0,00    0,25    0,00    0,00    0,00   60,88
