procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1      0 13324772 235008 5986964    0    0     0   656 9897 16645 10  7 75  9  0  0
 3  1      0 13315812 235024 5987004    0    0     0  1684 8439 14510 10  7 69 14  0  0
 5  1      0 13293928 235036 5987156    0    0     0   904 8904 14111 11  8 71  9  0  0
 3  2      0 13293176 235052 5974932    0    0     0  1924 9025 15811  9  8 70 13  0  0
 4  1      0 13301476 235060 5974952    0    0     0   952 5846 5321  8  7 72 13  0  0
 4  1      0 13294460 235072 5975092    0    0     0   544 7606 9938 10  7 75  9  0  0
13  2      0 13297284 235096 5975168    0    0     0  1728 10070 21088 11  8 63 19  0  0
 3  1      0 13292144 235128 5975192    0    0     0  1364 5824 6401  8  6 72 14  0  0
 4  1      0 13281724 235144 5975348    0    0     0   680 10077 19076 10  8 74  8  0  0
 6  1      0 13278660 235160 5971304    0    0     0  2040 6406 9373  9  7 70 15  0  0
 3  1      0 13279064 235192 5971444    0    0     0   636 7755 11046  8  7 75  9  0  0
 3  3      0 13276320 235208 5971512    0    0     0  1700 7527 10559  9  7 54 30  0  0
 4  1      0 13272144 235240 5971528    0    0     0  1076 8332 15808 11  7 69 13  0  0
 7  0      0 13268084 235268 5971700    0    0     0   668 10030 18990 10  9 71  9  0  0
 5  3      0 13270632 235268 5971752    0    0     0  1696 7744 10332 10  7 53 30  0  0
 3  1      0 13261056 235288 5971784    0    0     0  1268 6016 5476  7  7 73 12  0  0
 3  1      0 13248660 235316 5976040    0    0     0   780 9495 16568 10  8 73  8  0  0
 3  1      0 13246360 235336 5976092    0    0     0  1700 8966 18038 11  7 51 30  0  0
10  1      0 13244132 235360 5980216    0    0     0  1128 6739 10001  9  8 72 11  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  1      0 13254832 235376 5980388    0    0     0   624 10603 20651 11  9 72  8  0  0
 4  1      0 13253128 235388 5980432    0    0     0  1784 4872 4016  6  5 63 26  0  0
 5  1      0 13254004 235412 5980320    0    0     0  1124 9117 18580 13  8 68 11  0  0
 4  2      0 13233424 235432 5980616    0    0     0  1756 10486 20056 11  9 70 10  0  0
 4  1      0 13225216 235448 5968404    0    0     0  1060 7527 11413  9  8 71 11  0  0
 5  0      0 13231016 235460 5968388    0    0     0   536 7994 10359  9  7 74 10  0  0
 4  4      0 13234704 235480 5968452    0    0     0  1952 7332 11078  9  7 67 17  0  0
